collection||Sahih al Bukhari
collection_intro||
book||Revelation
chapter||How the Divine Revelation started being revealed to Allah's Messenger
chapter_intro||وَقَوْلُ اللَّهِ جَلَّ ذِكْرُهُ: {إِنَّا أَوْحَيْنَا إِلَيْكَ كَمَا أَوْحَيْنَا إِلَى نُوحٍ وَالنَّبِيِّينَ مِنْ بَعْدِهِ}
hadith|1|Telah menceritakan kepada kami [Al Humaidi Abdullah bin Az Zubair] dia berkata, Telah menceritakan kepada kami [Sufyan] yang berkata, bahwa Telah menceritakan kepada kami [Yahya bin Sa'id Al Anshari] berkata, telah mengabarkan kepada kami [Muhammad bin Ibrahim At Taimi], bahwa dia pernah mendengar [Alqamah bin Waqash Al Laitsi] berkata; saya pernah mendengar [Umar bin Al Khaththab] diatas mimbar berkata; saya mendengar Rasulullah shallallahu 'alaihi wasallam bersabda: "Semua perbuatan tergantung niatnya, dan (balasan) bagi tiap-tiap orang (tergantung) apa yang diniatkan; Barangsiapa niat hijrahnya karena dunia yang ingin digapainya atau karena seorang perempuan yang ingin dinikahinya, maka hijrahnya adalah kepada apa dia diniatkan
chapter||باب
hadith|2|Telah menceritakan kepada kami [Abdullah bin Yusuf] berkata, telah mengabarkan kepada kami [Malik] dari [Hisyam bin 'Urwah] dari [bapaknya] dari [Aisyah] Ibu Kaum Mu'minin, bahwa Al Harits bin Hisyam bertanya kepada Rasulullah shallallahu 'alaihi wasallam: "Wahai Rasulullah, bagaimana caranya wahyu turun kepada engkau?" Maka Rasulullah shallallahu 'alaihi wasallam menjawab: "Terkadang datang kepadaku seperti suara gemerincing lonceng dan cara ini yang paling berat buatku, lalu terhenti sehingga aku dapat mengerti apa yang disampaikan. Dan terkadang datang Malaikat menyerupai seorang laki-laki lalu berbicara kepadaku maka aku ikuti apa yang diucapkannya". Aisyah berkata: "Sungguh aku pernah melihat turunnya wahyu kepada Beliau shallallahu 'alaihi wasallam pada suatu hari yang sangat dingin lalu terhenti, dan aku lihat dahi Beliau mengucurkan keringat
chapter||باب
hadith|3|Telah menceritakan kepada kami [Yahya bin Bukair] berkata, Telah menceritakan kepada kami dari [Al Laits] dari ['Uqail] dari [Ibnu Syihab] dari ['Urwah bin Az Zubair] dari [Aisyah] -Ibu Kaum Mu'minin-, bahwasanya dia berkata: "Permulaaan wahyu yang datang kepada Rasulullah shallallahu 'alaihi wasallam adalah dengan mimpi yang benar dalam tidur. Dan tidaklah Beliau bermimpi kecuali datang seperti cahaya subuh. Kemudian Beliau dianugerahi kecintaan untuk menyendiri, lalu Beliau memilih gua Hiro dan bertahannuts yaitu 'ibadah di malam hari dalam beberapa waktu lamanya sebelum kemudian kembali kepada keluarganya guna mempersiapkan bekal untuk bertahannuts kembali. Kemudian Beliau menemui Khadijah mempersiapkan bekal. Sampai akhirnya datang Al Haq saat Beliau di gua Hiro, Malaikat datang seraya berkata: "Bacalah?" Beliau menjawab: "Aku tidak bisa baca". Nabi shallallahu 'alaihi wasallam menjelaskan: Maka Malaikat itu memegangku dan memelukku sangat kuat kemudian melepaskanku dan berkata lagi: "Bacalah!" Beliau menjawab: "Aku tidak bisa baca". Maka Malaikat itu memegangku dan memelukku sangat kuat kemudian melepaskanku dan berkata lagi: "Bacalah!". Beliau menjawab: "Aku tidak bisa baca". Malaikat itu memegangku kembali dan memelukku untuk ketiga kalinya dengan sangat kuat lalu melepaskanku, dan berkata lagi: (Bacalah dengan (menyebut) nama Tuhanmu yang Menciptakan, Dia Telah menciptakan manusia dari segumpal darah. Bacalah, dan Tuhanmulah yang Maha Pemurah)." Nabi shallallahu 'alaihi wasallam kembali kepada keluarganya dengan membawa kalimat wahyu tadi dalam keadaan gelisah. Beliau menemui Khadijah binti Khawailidh seraya berkata: "Selimuti aku, selimuti aku!". Beliau pun diselimuti hingga hilang ketakutannya. Lalu Beliau menceritakan peristiwa yang terjadi kepada Khadijah: "Aku mengkhawatirkan diriku". Maka Khadijah berkata: "Demi Allah, Allah tidak akan mencelakakanmu selamanya, karena engkau adalah orang yang menyambung silaturrahim." Khadijah kemudian mengajak Beliau untuk bertemu dengan Waroqoh bin Naufal bin Asad bin Abdul 'Uzza, putra paman Khadijah, yang beragama Nasrani di masa Jahiliyyah, dia juga menulis buku dalam bahasa Ibrani, juga menulis Kitab Injil dalam Bahasa Ibrani dengan izin Allah. Saat itu Waroqoh sudah tua dan matanya buta. Khadijah berkata: "Wahai putra pamanku, dengarkanlah apa yang akan disampaikan oleh putra saudaramu ini". Waroqoh berkata: "Wahai putra saudaraku, apa yang sudah kamu alami". Maka Rasulullah shallallahu 'alaihi wasallam menuturkan peristiwa yang dialaminya. Waroqoh berkata: "Ini adalah Namus, seperti yang pernah Allah turunkan kepada Musa. Duhai seandainya aku masih muda dan aku masih hidup saat kamu nanti diusir oleh kaummu". Rasulullah shallallahu 'alaihi wasallam bertanya: "Apakah aku akan diusir mereka?" Waroqoh menjawab: "Iya. Karena tidak ada satu orang pun yang datang dengan membawa seperti apa yang kamu bawa ini kecuali akan disakiti (dimusuhi). Seandainya aku ada saat kejadian itu, pasti aku akan menolongmu dengan sekemampuanku". Waroqoh tidak mengalami peristiwa yang diyakininya tersebut karena lebih dahulu meninggal dunia pada masa fatroh (kekosongan) wahyu. [Ibnu Syihab] berkata; telah mengabarkan kepadaku [Abu Salamah bin Abdurrahman] bahwa [Jabir bin Abdullah Al Anshari] bertutur tentang kekosongan wahyu, sebagaimana yang Rasulullah shallallahu 'alaihi wasallam ceritakan: "Ketika sedang berjalan aku mendengar suara dari langit, aku memandang ke arahnya dan ternyata Malaikat yang pernah datang kepadaku di gua Hiro, duduk di atas kursi antara langit dan bumi. Aku pun ketakutan dan pulang, dan berkata: "Selimuti aku. Selimuti aku". Maka Allah Ta'ala menurunkan wahyu: (Wahai orang yang berselimut) sampai firman Allah (dan berhala-berhala tinggalkanlah). Sejak saat itu wahyu terus turun berkesinambungan." Hadits ini juga diriwayatkan oleh [Abdullah bin Yusuf] dan [Abu Shalih] juga oleh [Hilal bin Raddad] dari [Az Zuhri]. Dan [Yunus] berkata; dan [Ma'mar] menyepakati bahwa dia mendapatkannya dari Az Zuhri
hadith|4|
