collection||Sahih al Bukhari
collection_intro||
book||Revelation
chapter||How the Divine Revelation started being revealed to Allah's Messenger
chapter_intro||وَقَوْلُ اللَّهِ جَلَّ ذِكْرُهُ: {إِنَّا أَوْحَيْنَا إِلَيْكَ كَمَا أَوْحَيْنَا إِلَى نُوحٍ وَالنَّبِيِّينَ مِنْ بَعْدِهِ}
hadith|1|Сообщается от ‘Умара ибн аль-Хаттаба, да будет доволен им Аллах, как он, будучи на минбаре, сказал:\n— Я слышал, как Посланник Аллаха ﷺ сказал: «Поистине, дела (оцениваются) только по намерениям и, поистине, каждому человеку (достанется) лишь то, что он намеревался (обрести), и (поэтому) переселявшийся[1] ради чего-нибудь мирского или ради женщины, на которой он хотел жениться[2], переселится (лишь) к тому, к чему он переселялся[3]»
chapter||باب
hadith|2|Нам рассказал ‘Абдулла ибн Юсуф, сказавший: Нам сообщил Малик, от Хишама ибн ‘Урвы, от его отца, от ‘Аиши — матери правоверных, да будет доволен ею Аллах, о том, что (однажды) аль-Харис ибн Хишам, да будет доволен им Аллах, спросил Посланника Аллаха ﷺ: «О Посланник Аллаха, как приходят к тебе откровения?» Посланник Аллаха ﷺ ответил: «Иногда приходящее ко мне подобно звону колокола, что является для меня наиболее тяжким, и это покидает меня, когда я уже усвоил сказанное им. Иногда же ангел предстаёт передо мной в образе человека и обращается ко мне со своими словами, и я усваиваю то, что он говорит». ‘Аиша, да будет доволен ею Аллах, сказала: «И мне приходилось видеть, как в очень холодные дни ему ниспосылались откровения, а после завершения (ниспослания) со лба его лился пот»
chapter||باب
hadith|3|Нам рассказал Яхйа ибн Букайр, сказавший: Нам рассказал Аль-Лейс от ‘Укайла, от ибн Шихаба от ‘Урвы ибн аз-Зубейра, от ‘Аиши матери правоверных то, что она сказала: «Ниспослание откровений Посланнику Аллаха ﷺ началось с благого видения во сне, а никаких иных видений, кроме приходивших подобно утренней заре, он никогда не видел. Затем ему была внушена любовь к уединению, и он стал часто уединяться в пещере на горе Хира, где занимался делами благочестия, что выражалось в поклонении (Аллаху) в течение многих ночей, пока у него не возникало желание вернуться к семье. Обычно он брал с собой все необходимые для этого припасы, а потом возвращался к Хадидже и брал всё, что ему было нужно, для нового такого же уединения. (Это продолжалось до тех пор.) пока ему не открылась истина, когда он находился в пещере (на горе) Хира. К нему явился ангел и велел: “Читай!” − на что он ответил: “Я не умею читать!”»(Пророк ﷺ) сказал: «Тогда он взял меня и сжал так, что я напрягся до предела, а затем он отпустил меня и снова велел: “Читай!” Я сказал: “Я не умею читать!” Он во второй раз сжал меня так, что я (опять) напрягся до предела, а затем отпустил и велел: “Читай!” — и я (снова) сказал: “Я не умею читать!” Тогда он сжал меня в третий раз, а затем отпустил и сказал: “Читай во имя Господа твоего, Который сотворил, сотворил человека из сгустка! Читай, а Господь твой — щедрейший...”»(‘Аиша, да будет доволен ею Аллах, сказала): «И Посланник Аллаха ﷺ, сердце которого трепетало (от страха), вернулся с этим, вошёл к Хадидже бинт Хувайлид, да будет доволен ею Аллах, и сказал: “Укройте меня, укройте меня!” Его укрыли, (и он оставался в подобном положении,) пока страх его не прошёл, после чего он сообщил ей обо всём (и сказал): “Я испугался за себя!” Хадиджа сказала: “Нет, нет! Клянусь Аллахом, Аллах никогда не покроет тебя позором, ведь ты поддерживаешь связи с родственниками, помогаешь нести бремя (слабому) и оделяешь неимущего, оказываешь людям гостеприимство и помогаешь (им) переносить невзгоды судьбы!” А после этого Хадиджа вышла из дома вместе с ним и привела его к своему двоюродному брату Варакъе ибн Науфалю ибн Асаду ибн ‘Абд аль-‘Уззе, который в эпоху джахилийи принял христианство, пользовался для своих записей письменностью иудеев, выписывал из Евангелия то, что было угодно Аллаху, и (к тому времени) являлся уже глубоким слепым старцем. Хадиджа сказала ему: “О сын моего дяди, выслушай своего племянника!” Варака спросил его: “О племянник, что ты видишь?” — и Посланник Аллаха ﷺ сообщил ему о том, что он видел. Варака сказал: “Это тот же ангел, которого Аллах направил к Мусе! О, если бы я был молод (в эти дни) и мог дожить до того времени, когда народ твой станет изгонять тебя!” Посланник Аллаха ﷺ спросил: “А разве они будут изгонять меня?” Варака ответил: “Да, ибо когда бы ни являлся человек с чем-либо подобным тому, что принёс с собой ты, с ним всегда враждовали, но если я доживу до этого дня, то буду помогать тебе как только смогу!” Однако Варака вскоре умер, а откровения временно прекратились»
hadith|4|Ибн Шихаб сказал: Рассказал мне Абу Саляма ибн ‘Абдуррахман то, что Джабир ибн ‘Абдуллах аль-Ансари, рассказывавший о периоде (временного) прекращения откровений, среди прочего сказал:\n— (Посланник Аллаха ﷺ сказал: «(Как-то раз) я шёл (по дороге) и вдруг услышал голос с неба. Я поднял голову и увидел явившегося ко мне (в пещеру на горе) Хира ангела, который (на этот раз) сидел на троне между небом и землёй. Я испугался его, вернулся (домой) и сказал: “Укройте меня, укройте меня!” − после чего Аллах Всевышний ниспослал (айаты, в которых говорилось): “О завернувшийся! Встань и увещевай, и Господа своего возвеличивай, и одежды свои очисть, и скверны избегай...”». А после этого откровения возобновились с новой силой и стали приходить одно за другим
