collection||مصنف ابن أبي شيبة
book||مصنف بن أبي شيبة
chapter||كتاب الطهارات
chapter||1 ) ما يقول الرجل إذا دخل الخلاء
hadith|1|حدثنا بقي بن مخلد رحمه الله قال حدثنا أبو بكر عبد الله بن محمد بن أبي شيبة قال نا هشيم بن بشير عن عبد العزيز بن أبي صهيب عن أنس بن مالك قال كان النبي صلى الله عليه وسلم إذا دخل الخلاء قال أعوذ بالله من الخببث ( ( ( الخبث ) ) ) والخبائث
hadith|2|حدثنا عبدة بن سليمان عن سعيد بن أبي عروبة عن قتادة عن قاسم الشيباني عن زيد بن أرقم قال قال رسول الله صلى الله عليه وسلم إن هذه الحشوش محتضرة فإذا دخل أحدكم الخلاء فليقل اللهم إني أعوذ بك من الخبث والخبائث
hadith|3|حدثنا محمد بن بشر العبدي عن عبد العزيز بن عمر قال حدثني الحسن بن مسلم بن يناق عن رجل من أصحاب عبد الله بن مسعود قال قال عبد الله إذا دخلت الغائط فاردت التكشف فقل اللهم إني أعوذ بك من الرجس النجس والخبث والخبائث والشيطان الرجيم
hadith|4|حدثنا عبدة بن سليمان عن جويبر عن الضحاك قال كان حذيفة إذا دخل الخلاء قال أعوذ بالله من الرجس النجس الخبيث المخبث الشيطان الرجيم
hadith|5|حدثنا هشيم عن أبي معشر هو نجيح عن عبد الله بن أبي طلحة عن أنس أن النبي صلى الله عليه وسلم كان إذا دخل الكنيف قال بسم الله اللهم إني أعوذ بك من الخبث والخبائث
hadith|6|حدثنا وكيع عن إسرائيل عن الزبرقان العبدي عن الضحاك بن مزاحم قال إذا دخلت الخلاء فقل اللهم إني أعوذ بك من الرجس النجس الخبيث المخبث الشيطان الرجيم
chapter||2 ) ما يقول إذا خرج من المخرج
hadith|7|حدثنا يحيى بن أبي بكير قال أخبرنا إسرائيل قال أخبرنا يوسف بن أبي برزة ( ( ( بردة ) ) ) قال سمعت أبي يقول دخلت على عائشة فسمعتها تقول كان رسول الله صلى الله عليه وسلم إذا خرج من الغائط قال غفرانك
hadith|8|حدثنا هشيم عن العوام عن إبراهيم التيمي أن نوحا النبي كان إذا خرج من الغائط قال الحمد لله الذي أذهب عني الأذى وعافاني
hadith|9|حدثنا هشيم قال أخبرنا العوام قال حدثت أن نوحا كان يقول الحمد لله الذي أذاقني لذته وابقى في منفعته وأذهب عني أذاه
hadith|10|حدثنا عبدة بن سليمان ووكيع عن سفيان عن منصور عن أبي علي أن أبا ذر كان يقول إذا خرج من الخلاء الحمد لله الذي أذهب عنى الأذى وعافاني
hadith|11|حدثنا عبدة عن جويبر عن الضحاك قال كان حذيفة يقول إذا خرج يعني من الخلاء الحمد لله الذي أذهب عنى الأذى وعافاني
hadith|12|حدثنا وكيع عن زمعة عن سلمة بن وهرام عن طاوس قال قال رسول الله صلى الله عليه وسلم إذا خرج أحدكم من الخلاء فليقل الحمد لله الذي أذهب عنى ما يؤذيني وأمسك علي ما ينفعني
hadith|13|حدثنا إسحاق بن منصور قال حدثنا هريم عن ليث عن المنهال بن عمرو قال كان أبو الدرداء إذا خرج من الخلاء قال الحمد لله الذي أماط عنى الأذى وعافاني 0
chapter||3 ) في التسمية في الوضوء
hadith|14|حدثنا زيد بن الحباب ومحمد بن عبد الله بن الزبير عن كثير بن زيد قال حدثني ربيح بن عبد الرحمن بن أبي سعيد الخدري عن أبيه عن جده أبي سعيد قال قال رسول الله صلى الله عليه وسلم لا وضوء لمن لم يذكر اسم الله عليه
hadith|15|حدثنا عفان قال نا وهيب قال نا عبد الرحمن بن حرملة أنه سمع أبا ثفال يحدث أنه سمع رباح بن عبد الرحمن بن أبي سفيان بن حويطب يقول حدثتني جدتي أنها سمعت أباها يقول سمعت رسول الله صلى الله عليه وسلم يقول لا صلاة لمن لا وضوء له ولا وضوء لمن لم يذكر اسم الله عليه
hadith|16|حدثنا عبدة عن حارثة عن عمرة قالت سألت عائشة كيف كانت صلاة رسول الله صلى الله عليه وسلم قالت كان إذا توضأ فوضع يده في الماء سمى فتوضأ ويسبغ الوضوء
hadith|17|حدثنا خلف بن خليفة عن ليث عن حسين بن عمارة عن أبي بكر قال إذا توضأ العبد فذكر اسم الله في وضوئه طهر جسده كله وإذا توضأ ولم يذكر اسم الله لم يطهر إلا ما أصابه الماء
hadith|18|حدثنا وكيع عن ربيع عن الحسن قال يسمي إذا توضأ فإن لم يفعل أجزأه
chapter||4 ) في الرجل ما يقول إذا فرغ من وضوئه
hadith|19|حدثنا وكيع بن الجراح عن سفيان عن أبي هاشم الواسطي عن أبي مجلز عن قيس بن عباد عن أبي سعيد الخدري قال من قال إذا فرغ من وضوئه سبحانك اللهم وبحمدك أشهد أن لا إله إلا أنت أستغفرك وأتوب إليك ختمت بخاتم ثم رفعت تحت العرش فلم تكسر إلى يوم القيامة
hadith|20|حدثنا عبد الله بن نمير وعبد الله بن داود عن الأعمش عن إبراهيم بن المهاجر عن سالم بن أبي الجعد قال كان علي إذا فرغ من وضوئه قال أشهد أن لا إله إلا الله وأشهد أن محمدا عبده ورسوله رب اجعلني من التوابين واجعلني من المتطهرين
