collection||Sharh Ma'āni Al-Āthār
book||كتاب الطهارة
hadith|1|حَدَّثَنَا مُحَمَّدُ بْنُ خُزَيْمَةَ بْنِ رَاشِدٍ الْبَصْرِيُّ، قَالَ: ثنا الْحَجَّاجُ بْنُ الْمِنْهَالِ، قَالَ: ثنا حَمَّادُ بْنُ سَلَمَةَ، عَنْ مُحَمَّدِ بْنِ إِسْحَاقَ، عَنْ عُبَيْدِ اللهِ بْنِ عَبْدِ الرَّحْمَنِ، عَنْ أَبِي سَعِيدٍ الْخُدْرِيِّ، أَنَّ رَسُولَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَانَ يَتَوَضَّأُ مِنْ بِئْرِ بُضَاعَةَ، فَقِيلَ: يَا رَسُولَ اللهِ، إِنَّهُ يُلْقَى فِيهِ الْجِيَفُ وَالْمَحَائِضُ. فَقَالَ: «إِنَّ الْمَاءَ لَا يَنْجُسُ»
hadith|2|حَدَّثَنَا إِبْرَاهِيمُ بْنُ أَبِي دَاوُدَ، وَسُلَيْمَانُ أَبُو دَاوُدَ الْأَسَدِيُّ، قَالَا: ثنا أَحْمَدُ بْنُ خَالِدٍ الْوَهْبِيُّ، قَالَ: ثنا مُحَمَّدُ بْنُ إِسْحَاقَ، عَنْ سَلِيطِ بْنِ أَيُّوبَ، عَنْ عُبَيْدِ اللهِ بْنِ عَبْدِ الرَّحْمَنِ بْنِ رَافِعٍ، عَنْ أَبِي سَعِيدٍ الْخُدْرِيِّ، قَالَ: قِيلَ: يَا رَسُولَ اللهِ , إِنَّهُ يُسْتَقَى لَكَ مِنْ بِئْرِ بُضَاعَةَ وَهِيَ بِئْرٌ يُطْرَحُ فِيهَا عَذِرَةُ النَّاسِ , وَمَحَائِضُ النِّسَاءِ , وَلَحْمُ الْكِلَابِ. فَقَالَ: «إِنَّ الْمَاءَ طَهُورٌ لَا يُنَجِّسُهُ شَيْءٌ»
hadith|3|حَدَّثَنَا إِبْرَاهِيمُ قَالَ: ثَنَا عِيسَى بْنُ إِبْرَاهِيمَ الْبِرْكِيُّ قَالَ: ثنا عَبْدُ الْعَزِيزِ بْنُ مُسْلِمٍ الْقَسْمَلِيُّ قَالَ: ثنا مُطَرِّفٌ عَنْ خَالِدِ بْنِ أَبِي نَوْفٍ، عَنِ ابْنِ أَبِي سَعِيدٍ الْخُدْرِيِّ عَنْ أَبِيهِ قَالَ: " انْتَهَيْتُ إِلَى رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَهُوَ يَتَوَضَّأُ مِنْ بِئْرِ بُضَاعَةَ , فَقُلْتُ: يَا رَسُولَ اللهِ , أَتَتَوَضَّأُ مِنْهَا وَهِيَ يُلْقَى فِيهَا مَا يُلْقَى مِنَ النَّتْنِ؟ فَقَالَ رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «الْمَاءُ لَا يُنَجِّسُهُ شَيْءٌ»
hadith|4|حَدَّثَنَا إِبْرَاهِيمُ بْنُ أَبِي دَاوُدَ، قَالَ: ثنا أَصْبَغُ بْنُ الْفَرَجِ، قَالَ: ثنا حَاتِمُ بْنُ إِسْمَاعِيلَ، عَنْ مُحَمَّدِ بْنِ أَبِي يَحْيَى الْأَسْلَمِيِّ، عَنْ أُمِّهِ، قَالَتْ: " دَخَلْنَا عَلَى سَهْلِ بْنِ سَعْدٍ فِي أَرْبَعِ نِسْوَةٍ، فَقَالَ: لَوْ سَقَيْتُكُمْ مِنْ بِئْرِ بُضَاعَةَ لَكَرِهْتُمْ ذَلِكَ، وَقَدْ سَقَيْتُ رَسُولَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مِنْهَا بِيَدِي
hadith|5|حَدَّثَنَا فَهْدُ بْنُ سُلَيْمَانَ بْنِ يَحْيَى، قَالَ: مُحَمَّدُ بْنُ سَعِيدٍ الْأَصْبَهَانِيُّ قَالَ: أنا شَرِيكُ بْنُ عَبْدِ اللهِ النَّخَعِيُّ، عَنْ طَرِيفٍ الْبَصْرِيِّ، عَنْ أَبِي نَضْرَةَ، عَنْ جَابِرٍ، أَوْ أَبِي سَعِيدٍ قَالَ: كُنَّا مَعَ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فِي سَفَرِنَا، فَانْتَهَيْنَا إِلَى غَدِيرٍ وَجِيفَةٍ، فَكَفَفْنَا وَكَفَّ النَّاسُ، حَتَّى أَتَانَا رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ، فَقَالَ: مَا لَكُمْ لَا تَسْتَقُونَ؟ فَقُلْنَا: يَا رَسُولَ اللهِ , هَذِهِ الْجِيفَةُ. فَقَالَ: «اسْتَقُوا , فَإِنَّ الْمَاءَ لَا يُنَجِّسُهُ شَيْءٌ. فَاسْتَقَيْنَا وَارْتَوَيْنَا» . فَذَهَبَ قَوْمٌ إِلَى هَذِهِ الْآثَارِ , فَقَالُوا: لَا يُنَجِّسُ الْمَاءَ شَيْءٌ وَقَعَ فِيهِ , إِلَّا أَنْ يُغَيِّرَ لَوْنَهُ , أَوْ طَعْمَهُ , أَوْ رِيحَهُ , فَأَيُّ ذَلِكَ إِذَا كَانَ , فَقَدْ نَجِسَ الْمَاءُ. وَخَالَفَهُمْ فِي ذَلِكَ آخَرُونَ، فَقَالُوا: أَمَّا مَا ذَكَرْتُمُوهُ مِنْ بِئْرِ بُضَاعَةَ فَلَا حُجَّةَ لَكُمْ فِيهِ؛ لِأَنَّ بِئْرَ بُضَاعَةَ قَدِ اخْتُلِفَ فِيهَا مَا كَانَتْ، فَقَالَ قَوْمٌ: كَانَتْ طَرِيقًا لِلْمَاءِ إِلَى الْبَسَاتِينِ، فَكَانَ الْمَاءُ لَا يَسْتَقِرُّ فِيهَا، فَكَانَ حُكْمُ مَائِهَا كَحُكْمِ مَاءِ الْأَنْهَارِ، وَهَكَذَا نَقُولُ فِي كُلِّ مَوْضِعٍ كَانَ عَلَى هَذِهِ الصِّفَةِ وَقَعَتْ فِي مَائِهِ نَجَاسَةٌ، فَلَا يَنْجُسُ مَاؤُهُ إِلَّا أَنْ يَغْلِبَ عَلَى طَعْمِهِ أَوْ لَوْنِهِ أَوْ رِيحِهِ أَوْ يُعْلَمَ أَنَّهَا فِي الْمَاءِ الَّذِي يُؤْخَذُ مِنْهَا , فَإِنْ عَلِمَ ذَلِكَ كَانَ نَجِسًا , وَإِنْ لَمْ يُعْلَمْ ذَلِكَ كَانَ طَاهِرًا
hadith|6|وَقَدْ حُكِيَ هَذَا الْقَوْلُ الَّذِي ذَكَرْنَاهُ فِي بِئْرِ بُضَاعَةَ عَنِ الْوَاقِدِيِّ , حَدَّثَنِيهِ أَبُو جَعْفَرٍ أَحْمَدُ بْنُ أَبِي عِمْرَانَ، عَنْ أَبِي عَبْدِ اللهِ مُحَمَّدِ بْنِ شُجَاعٍ الثَّلْجِيِّ، عَنِ الْوَاقِدِيِّ أَنَّهَا كَانَتْ كَذَلِكَ. وَكَانَ مِنَ الْحُجَّةِ فِي ذَلِكَ أَيْضًا أَنَّهُمْ قَدْ أَجْمَعُوا أَنَّ النَّجَاسَةَ إِذَا وَقَعَتْ فِي الْبِئْرِ فَغَلَبَتْ عَلَى طَعْمِ مَائِهَا أَوْ رِيحِهِ أَوْ لَوْنِهِ , أَنَّ مَاءَهَا قَدْ فَسَدَ. وَلَيْسَ فِي حَدِيثِ بِئْرِ بُضَاعَةَ مِنْ هَذَا شَيْءٌ، إِنَّمَا فِيهِ أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ سُئِلَ عَنْ بِئْرِ بُضَاعَةَ، فَقِيلَ لَهُ: إِنَّهُ يُلْقَى فِيهَا الْكِلَابُ وَالْمَحَائِضُ. فَقَالَ: «إِنَّ الْمَاءَ لَا يُنَجِّسُهُ شَيْءٌ» . وَنَحْنُ نَعْلَمُ أَنَّ بِئْرًا لَوْ سَقَطَ فِيهَا مَا هُوَ أَقَلُّ مِنْ ذَلِكَ لَكَانَ مُحَالًا أَنْ لَا يَتَغَيَّرَ رِيحُ مَائِهَا وَطَعْمُهُ , هَذَا مِمَّا يُعْقَلُ وَيُعْلَمُ. فَلَمَّا كَانَ ذَلِكَ كَذَلِكَ، وَقَدْ أَبَاحَ لَهُمُ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَاءَهَا، وَأَجْمَعُوا أَنَّ ذَلِكَ لَمْ يَكُنْ وَقَدْ دَاخَلَ الْمَاءَ التَّغْيِيرُ مِنْ جِهَةٍ مِنَ الْجِهَاتِ اللَّاتِي ذَكَرْنَا ; اسْتَحَالَ عِنْدَنَا، وَاللهُ أَعْلَمُ، أَنْ يَكُونَ سُؤَالُهُمُ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَنْ مَائِهَا وَجَوَابُهُ إِيَّاهُمْ فِي ذَلِكَ بِمَا أَجَابَهُمْ , كَانَ وَالنَّجَاسَةُ فِي الْبِئْرِ. ⦗١٣⦘ وَلَكِنَّهُ، وَاللهُ أَعْلَمُ، كَانَ بَعْدَ أَنْ أُخْرِجَتِ النَّجَاسَةُ مِنَ الْبِئْرِ، فَسَأَلُوا النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَنْ ذَلِكَ: هَلْ تَطْهُرُ بِإِخْرَاجِ النَّجَاسَةِ مِنْهَا فَلَا يَنْجُسُ مَاؤُهَا الَّذِي يَطْرَأُ عَلَيْهَا بَعْدَ ذَلِكَ؟ وَذَلِكَ مَوْضِعٌ مُشْكِلٌ لِأَنَّ حِيطَانَ الْبِئْرِ لَمْ تُغْسَلْ وَطِينُهَا لَمْ يُخْرَجْ، فَقَالَ لَهُمُ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «إِنَّ الْمَاءَ لَا يَنْجُسُ» . يُرِيدُ بِذَلِكَ الْمَاءَ الَّذِي طَرَأَ عَلَيْهَا بَعْدَ إِخْرَاجِ النَّجَاسَةِ مِنْهَا لَا أَنَّ الْمَاءَ لَا يَنْجُسُ إِذَا خَالَطَتْهُ النَّجَاسَةُ وَقَدْ رَأَيْنَاهُ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ: «الْمُؤْمِنُ لَا يَنْجُسُ»
hadith|7|حَدَّثَنَاهُ ابْنُ أَبِي دَاوُدَ، قَالَ: ثنا الْمُقَدَّمِيُّ، قَالَ: ثنا ابْنُ أَبِي عَدِيٍّ، عَنْ حُمَيْدٍ، ح
hadith|8|وَحَدَّثَنَا ابْنُ خُزَيْمَةَ، قَالَ: ثنا الْحَجَّاجُ بْنُ مِنْهَالٍ، قَالَ: ثنا حَمَّادٌ، عَنْ حُمَيْدٍ، عَنْ بَكْرٍ، عَنْ أَبِي رَافِعٍ، عَنْ أَبِي هُرَيْرَةَ، قَالَ: لَقِيتُ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَأَنَا جُنُبٌ، فَمَدَّ يَدَهُ إِلَيَّ فَقَبَضْتُ يَدِي عَنْهُ وَقُلْتُ: إِنِّي جُنُبٌ. فَقَالَ: «سُبْحَانَ اللهِ إِنَّ الْمُسْلِمَ لَا يَنْجُسُ» . وَقَالَ عَلَيْهِ السَّلَامُ فِي غَيْرِ هَذَا الْحَدِيثِ: «إِنَّ الْأَرْضَ لَا تَنْجُسُ»
hadith|9|حَدَّثَنَا بِذَلِكَ أَبُو بَكْرَةَ بَكَّارُ بْنُ قُتَيْبَةَ الْبَكْرَاوِيُّ , قَالَ: ثنا أَبُو دَاوُدَ، قَالَ: ثنا أَبُو عَقِيلٍ الدَّوْرَقِيُّ، قَالَ: ثنا الْحَسَنُ " أَنَّ وَفْدَ ثَقِيفٍ لَمَّا قَدِمُوا عَلَى رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ضَرَبَ لَهُمْ قُبَّةً فِي الْمَسْجِدِ، فَقَالُوا: يَا رَسُولَ اللهِ , قَوْمٌ أَنْجَاسٌ. فَقَالَ رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «إِنَّهُ لَيْسَ عَلَى الْأَرْضِ مِنْ أَنْجَاسِ النَّاسِ شَيْءٌ ; إِنَّمَا أَنْجَاسُ النَّاسِ عَلَى أَنْفُسِهِمْ» . فَلَمْ يَكُنْ مَعْنَى قَوْلِهِ: «الْمُسْلِمُ لَا يَنْجُسُ» يُرِيدُ بِذَلِكَ أَنَّ بَدَنَهُ لَا يَنْجُسُ وَإِنْ أَصَابَتْهُ النَّجَاسَةُ , إِنَّمَا أَرَادَ أَنَّهُ لَا يَنْجُسُ لِمَعْنًى غَيْرِ ذَلِكَ. وَكَذَلِكَ قَوْلُهُ «الْأَرْضُ لَا تَنْجُسُ» لَيْسَ يَعْنِي بِذَلِكَ أَنَّهَا لَا تَنْجُسُ , وَإِنْ أَصَابَتْهَا النَّجَاسَةُ. وَكَيْفَ يَكُونُ ذَلِكَ , وَقَدْ أَمَرَ بِالْمَكَانِ الَّذِي بَالَ فِيهِ الْأَعْرَابِيُّ مِنَ الْمَسْجِدِ أَنْ يُصَبَّ عَلَيْهِ ذَنُوبٌ مِنْ مَاءٍ؟
hadith|10|حَدَّثَنَا بِذَلِكَ أَبُو بَكْرَةَ قَالَ: ثنا عُمَرُ بْنُ يُونُسَ الْيَمَامِيُّ قَالَ: ثنا عِكْرِمَةُ بْنُ عَمَّارٍ قَالَ: ثنا إِسْحَاقُ بْنُ عَبْدِ اللهِ بْنِ أَبِي طَلْحَةَ قَالَ: حَدَّثَنِي أَنَسُ بْنُ مَالِكٍ قَالَ: " بَيْنَمَا نَحْنُ مَعَ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ جُلُوسًا، إِذْ جَاءَ أَعْرَابِيٌّ فَقَامَ يَبُولُ فِي الْمَسْجِدِ، فَقَالَ أَصْحَابُ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: مَهْ مَهْ. فَقَالَ رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «دَعُوهُ» . فَتَرَكُوهُ حَتَّى بَالَ , ثُمَّ إِنَّ رَسُولَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ دَعَاهُ فَقَالَ لَهُ: «إِنَّ هَذِهِ الْمَسَاجِدَ لَا تَصْلُحُ لِشَيْءٍ مِنْ هَذَا الْبَوْلِ وَالْعَذِرَةِ , إِنَّمَا هِيَ لِذِكْرِ اللهِ وَالصَّلَاةِ وَقِرَاءَةِ الْقُرْآنِ» . قَالَ عِكْرِمَةُ: أَوْ كَمَا قَالَ رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ , فَأَمَرَ رَجُلًا فَجَاءَهُ بِدَلْوٍ مِنْ مَاءٍ فَشَنَّهُ عَلَيْهِ
hadith|11|حَدَّثَنَا عَلِيُّ بْنُ شَيْبَةَ، قَالَ: ثنا يَحْيَى، قَالَ: ثنا عَبْدُ الْعَزِيزِ بْنُ مُحَمَّدٍ، عَنْ يَحْيَى بْنِ سَعِيدٍ، أَنَّهُ سَمِعَ أَنَسَ بْنَ مَالِكٍ يَذْكُرُ عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ نَحْوَهُ غَيْرَ أَنَّهُ لَمْ يَذْكُرْ قَوْلَهُ: «إِنَّ هَذِهِ الْمَسَاجِدَ» إِلَى آخِرِ الْحَدِيثِ. ⦗١٤⦘ وَرَوَى طَاوُسٌ أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَمَرَ بِمَكَانِهِ أَنْ يُحْفَرَ
hadith|12|حَدَّثَنَا بِذَلِكَ أَبُو بَكْرَةَ بَكَّارُ بْنُ قُتَيْبَةَ الْبَكْرَاوِيُّ , قَالَ: ثنا إِبْرَاهِيمُ بْنُ بَشَّارٍ، قَالَ: ثنا سُفْيَانُ بْنُ عُيَيْنَةَ، عَنْ عَمْرِو بْنِ دِينَارٍ، عَنْ طَاوُسٍ، بِذَلِكَ. وَقَدْ رُوِيَ عَنْ عَبْدِ اللهِ بْنِ مَسْعُودٍ، عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِذَلِكَ أَيْضًا
hadith|13|حَدَّثَنَا فَهْدُ بْنُ سُلَيْمَانَ، قَالَ: ثنا يَحْيَى بْنُ عَبْدِ الْحَمِيدِ الْحِمَّانِيُّ، قَالَ: ثنا أَبُو بَكْرِ بْنُ عَيَّاشٍ، عَنْ سَمْعَانَ بْنِ مَالِكٍ الْأَسَدِيِّ، عَنْ أَبِي وَائِلٍ، عَنْ عَبْدِ اللهِ، قَالَ: «بَالَ أَعْرَابِيٌّ فِي الْمَسْجِدِ، فَأَمَرَ بِهِ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَصُبَّ عَلَيْهِ دَلْوٌ مِنْ مَاءٍ , ثُمَّ أَمَرَ بِهِ فَحُفِرَ مَكَانُهُ» قَالَ أَبُو جَعْفَرٍ: فَكَانَ مَعْنَى قَوْلِهِ «إِنَّ الْأَرْضَ لَا تَنْجُسُ» أَيْ أَنَّهَا لَا تَبْقَى نَجِسَةً إِذَا زَالَتِ النَّجَاسَةُ مِنْهَا، لَا أَنَّهُ يُرِيدُ أَنَّهَا غَيْرُ نَجِسَةٍ فِي حَالِ كَوْنِ النَّجَاسَةِ فِيهَا. فَكَذَلِكَ قَوْلُهُ فِي بِئْرِ بُضَاعَةَ «إِنَّ الْمَاءَ لَا يُنَجِّسُهُ شَيْءٌ» لَيْسَ هُوَ عَلَى حَالِ كَوْنِ النَّجَاسَةِ فِيهَا ; إِنَّمَا هُوَ عَلَى حَالِ عَدَمِ النَّجَاسَةِ فِيهَا. فَهَذَا وَجْهُ قَوْلِهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فِي بِئْرِ بُضَاعَةَ «الْمَاءُ لَا يُنَجِّسُهُ شَيْءٌ» ، وَاللهُ أَعْلَمُ، وَقَدْ رَأَيْنَاهُ بَيَّنَ ذَلِكَ فِي غَيْرِ هَذَا الْحَدِيثِ
