collection||Sahih Muslim
collection_intro||
book||The Book of Faith
chapter||Explaining Al-Iman (Faith), Al-Islam, and Al-Ihsan, and The Obligations of Al-Iman With Affirmation of The Qadar of Allah, Glorious And Most High is He. And Explaining The Evidence For Declaring One's Innocence Of One Who Does Not Believe In Al-Qadar, And Having A Harsh View Of His Case
hadith|8a|
hadith|8b|Bana Muhammed b. Ubeyd el-Gubara, Ebu Kamil el-Cahderi ve Ahmed b. Abde tahdis edip dediler ki: Bize Hammad b. Zeyd, Matar el-Varrak'dan tahdis etti. O Abdullah b. Bureyde'den, o Yahya b. Ya'mer'den şöyle dediğini nakletti: Ma'bed kader hakkında söylediklerini söyleyince, biz bunu kabul etmeyip, karşı çıktık. (Yahya) dedi ki: Humeyd b. Abdurrahman el-Himyeri ile birlikte hacca gitmiştik, sonra da (raviler) hadisi Kehmes'in rivayet ettiği hadisin manasıyla ve senediyle -ancak bazı fazlalıklar ile birkaç harf eksiği ile- rivayet ettiler. Diğer tahric: Ebu Davud, 4695; Tırmizi, 2610; Nesai, 5005; İbn Mace, 63; Tuhfetu'l-Eşraf, 10572 Sened Şerhi: "Bana Muhammed b. Ubeyd el-Guberı, Ebu Kamil el-Cahderi ve Ahmed b. Abde tahdis etti." Bu senetteki "el-Guberi" nispeti ğayn harfi ötreli, be harfi fethalıdır. Mukaddimenin baş taraflarında buna dair net açıklamalar geçmiş bulunmaktadır. el-Cahderl'nin adı ise el-Fudayl b. Huseyn'dir. "el-Cahderi" nispetinde cim fethalı, ha sakindir. Mukaddimede de buna dair açıklamalar geçti. "Abde" isminde be harfi sakindir. Bu da önceki fasıllarda "Abde ve Ubeyde" ile ilgili açıklamalarda geçti. Bu isnadda "Matar el-Verrak" da geçmektedir ki, adı Matar b. Tahman Ebu Reca el-Horasani'dir. Basra'da yerleşmiştir. Mushaf yazar(ak geçinir)di. Ona el-Verrak (kağıtçı) denilmiştir. "Hac etmek için gitmiştik"teki "(...): Bir hac" lafzı ha harfi hem kesreli, hem fethalı olarak iki şekilde de söylenir. Kesreli söyleyiş Araplardan işitilmiş alandır. Fethalı söyleyiş ise kıyasa göredir. Bir vuruş anlamındaki (ve benzerleri) 'kelimeler için dilciler böyle demişlerdir
hadith|8c|Bana Muhammed b. Hatim de tahdis etti. Bize Yahya b. Said el-Kattan tahdis etti. Bize Osman b. Ğiyas tahdis etti. Bize Abdullah b. Bureyde, Yahya b. Ya'mer'den ve Humeyd b. Abdurrahman'dan şöyle dediklerini tahdis etti. Abdullah b. Ömer ile karşılaştık. Kaderi ve (yeni görüş ortaya atanların) kader hakkında söylediklerini zikrettik. O da hadisi onların naklettikleri gibi Ömer (radiyallahu anh)'dan, o Nebi (Sallallahu aleyhi ve Sellem)'den bize rivayet etti, ama onda biraz fazlalık ve bir parça eksik lafızlar bulunabilir. Diğer tahric: Hadisin Humeyd b. Abdurrahman yoluyla gelen rivayetini Ebu Davud, 4696; Tuhfetu'l-Eşraf, 10516'da rivayet etmiştir. Yahya b. Ya'mer tarafından gelen rivayetinin kaynakları da 93 numaralı hadiste gösterildi
hadith|8d|Bana Haccac eş-Şair de tahdis etti. Bize Yunus b. Muhammed tahdis etti. Bize el-Mutemir babasından tahdis etti. O Yahya b. Ya'mer'den, o İbn Ömer'den, o Ömer'den, o Nebi (Sallallahu aleyhi ve Sellem)'den adı geçen ravilerin hadisi naklettiklerine yakın rivayet etti. Diğer tahric: 93 numaralı hadisin kaynakları. AHMED DAVUDOĞLU ŞERHİ İÇİN bBURAYA TIKLA NEVEVİ SENED ŞERHİ 95, 96, 97, 98 İÇİN BURAYA TIKLA NEVEVİ AÇIKLAMASI 93, 94, 95, 96, 97, 98 İÇİN BURAYA TIKLA
chapter||What is Al-Iman (Faith)? Explaining Its Characteristics
hadith|8e|Bana Ebu Bekr b. Ebi Şeybe ve Zuheyr b. Harb beraberce İbn Uleyye'den tahdis etti: Zuheyr dedi ki: Bize İsmail b. İbrahim, Ebu Hayyan'dan tahdis etti. O Ebu Zur'a b. Amr b. Cerir'den, o Ebu Hureyre'den şöyle dediğini nakletti: Rasulullah (Sallallahu aleyhi ve Sellem) bir gün insanlar arasına çıkmıştı. Yanına bir adam gelerek: Ey Allah'ın Rasulü, iman nedir, dedi. O: ''Allah'a, meleklerine, kitabına, ona kavuşmaya ve rasullerine iman etmendir. Bir de ölümden sonra dirilişe de iman etmendir" buyurdu. Adam: Ey Allah'ın Resulü İslam nedir dedi. O: "İslam Allah'a ona hiçbir şeyi ortak koşmaksızın ibadet etmen, farz namazı dosdoğru kılman, farz zekatı tam olarak vermen ve ramazan orucunu tutmandır" buyurdu. Adam: Ey Allah'ın Resulü, ihsan nedir, (diye) sordu. O: ''Allah'a onu görüyormuşsun gibi ibadet etmendir. Sen onu görmüyorsan dahi o seni görür" buyurdu. Adam: Ey Allah'ın Rasulü (kıyametin) saat(i) ne zaman, dedi. Allah Rasulü: "Hakkında soru sorulan kişi sorandan bilgili değildir ama ben sana onun şartlarını söyleyeyim. Cariye efendisini doğuracak olursa işte bu onun şartlarından (alametlerinden) dir. Çıplak ve yalınayak kimseler insanların başı olurlarsa işte bu onun şartlarındandır. Dilsiz davar çobanları uzun bina yanşma girişirlerse işte bu onun şartlarındandır. (Yoksa kıyametin ne zaman kopacağı} Allah'tan başka kimsenin bilmediği beş husus arasındadır" buyurdu. Sonra da: "Saatin ilmi muhakkak Allah'ın yanındadır. Yağmuru o indirir, rahimlerde olanı o bilir. (Hiçbir kimse yarın ne kazanacağını bilemez, hiçbir nefis de hangi yerde öleceğini bilemez.) Şüphesiz Allah her şeyi bilendir, her şeyden haberdardır. " (Lokman, 34) buyruğunu okudu. (Ebu Hureyre) dedi ki: Sonra adam dönüp gitti. Resulullah (Sallallahu aleyhi ve Sellem): "O adamı bana getiriniz" buyurdu. Onu geri çağırmak için harekete geçtilerse de hiçbir §ey göremediler. Resulullah (Sallallahu aleyhi ve Sellem)'de: "Bu Cibril'di. İnsanlara dinlerini öğretmek için geldi" buyurdu. Diğer tahric: Buhari, 50 ve 4777; İbn Mace, 64 ve 4044'te kısmen; Tuhfetu'I-Eşraf
hadith|9|Bize Muhammed b. Abdullah b. Numeyr tahdis etti. Bize Muhammed b. Bişr tahdis etti. Bize Ebu Hayyan et-Teymi bu isnad ile aynısını tahdis etti. Şu kadar var ki o, rivayetinde "erne kocasını doğurursa" demiştir ki (erne lafzından) kastı cariyelerdir. 97 numaralı hadisin kaynakları ile aynı AHMED DAVUDOĞLU ŞERHİ İÇİN BURAYA TIKLAYIN NEVEVİ SENED ŞERHİ 95, 96, 97, 98 İÇİN BURAYA TIKLA NEVEVİ AÇIKLAMASI 93, 94, 95, 96, 97, 98 İÇİN BURAYA TIKLA BU HADİS’İN BUHARİ RİVAYETİ VE İBN-İ HACER’İN FETHU’L-BARİ AÇIKLAMASI İÇİN BURAYA TIKLAYIN
