collection||Sahih Muslim
collection_intro||
book||The Book of Faith
chapter||Explaining Al-Iman (Faith), Al-Islam, and Al-Ihsan, and The Obligations of Al-Iman With Affirmation of The Qadar of Allah, Glorious And Most High is He. And Explaining The Evidence For Declaring One's Innocence Of One Who Does Not Believe In Al-Qadar, And Having A Harsh View Of His Case
hadith|8a|
hadith|8b|کہمس کے بجائے مطر وراق نےعبد اللہ بن بریدہ سے ، انہوں نے یحیی بن یعمر سے نقل کیا کہ جب معبد ( جہنی ) نے تقدیر کے بارے میں وہ ( سب ) کہا جو کہا ، تو ہم نے اسے سخت ناپسند کیا ( یحییٰ نے کہا ) میں اور حمید بن عبد الرحمٰن حمیری نے حج کیا .... اس کے بعد انہوں نے کہمس کے واسطے سے بیان کردہ حدیث کے مطابق حدیث بیان کی ، البتہ الفاظ میں کچھ کمی بیشی ہے
hadith|8c|(عبد اللہ بن بریدہ کے ایک تیسرے شاگرد ) عثمان بن غیاث نے یحییٰ بن یعمر اور حمید بن عبد الرحمٰن دونوں سے روایت کی ، دونوں نےکہا : ہم عبد اللہ بن عمر ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے ملے اور ہم سے تقدیر کی بات کی اور وہ لوگ ( منکرین تقدیر ) جو کچھ کہتے ہیں ، اس کا ذکر کیا ۔ اس کے بعد ( عثمان بن غیاث نے ) سابقہ راویوں کے مطابق حضرت عمر ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے مرفوعاً روایت کی ۔ اس روایت میں کچھ الفاظ زیادہ ہیں اور کچھ انہوں نے کم کیے ہیں ۔
hadith|8d|معتمر کے والد ( سلیمان بن طرخان ) نے یحییٰ بن یعمر سے ، انہوں نے عبد اللہ بن عمر ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے ، انہوں نے حضرت عمر ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے اور انہوں نے نبی ﷺ سے اسی طرح روایت کی جس طرح مذکورہ اساتذہ نے روایت کی ۔
chapter||What is Al-Iman (Faith)? Explaining Its Characteristics
hadith|8e|اسماعیل بن ابراہیم ( ابن علیہ ) نے ابو حیان سے ، انہوں نے ابو زرعہ بن عمرو بن جریر سے اور انہوں نے حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی ، کہا : رسول اللہ ﷺ ایک دن لوگوں کے سامنے ( تشریف فرما ) تھے ، ایک آدمی آپﷺ کے پاس آیا اور پوچھا : اے اللہ کے رسول ! ایمان کیا ہے ؟ آپ نے فرمایا : ’’تم اللہ تعالیٰ ، اس کے فرشتوں ، اس کی کتاب ، ( قیامت کے روز ) اس سے ملاقات ( اس کے سامنے حاضری ) اور اس کے رسولوں پر ایمان لاؤ اور آخری ( بار زندہ ہو کر ) اٹھنے پر ( بھی ) ایمان لے آؤ ۔ ‘ ‘ اس نے کہا : اے اللہ کے رسول ! اسلام کیا ہے ؟ آپﷺ نے فرمایا : ’’اسلام یہ ہے کہ اللہ تعالیٰ کی عبادت کرو اور اس کے ساتھ کسی چیز کو شریک نہ ٹھہراؤ ، لکھی ( فرض کی ) گئی نمازوں کی ‎پابندی کرو ، فرض کی گئی زکاۃ ادا کرو ۔ اور رمضان کے روزے رکھو ۔ ‘ ‘ اس نے کہا : اے اللہ کے رسول ! احسان کیا ہے ؟ آپﷺ نے فرمایا : ’’ اللہ تعالیٰ کی عبادت اس طرح کرو گویا تم اسے دیکھ رہے ہو اور اگر تم اسے نہیں دیکھ رہے ہو تو وہ یقیناً تمہیں دیکھ رہا ہے ۔ ‘ ‘ اس نے کہا : اے اللہ کے رسول ! قیامت کب ( قائم ) ہو گی ؟ آپ ﷺ نے فرمایا : ’’جس سے سوال کیا گیا ہے ، وہ ا س کے بارے میں پوچھنے والے سےزیادہ آگاہ نہیں ۔ لیکن میں تمہیں قیامت کی نشانیاں بتائے دیتا ہوں : جب لونڈی اپنا مالک جنے گی تو یہ اس کی نشانیوں میں سے ہے ، اور جب ننگے بدن اور ننگے پاؤں والے لوگوں کے سردار بن جائیں گے تو یہ اس کی نشانیوں میں سے ہے ، اور جب بھیڑ بکریاں چرانے والے ، اونچی اونچی عمارتیں بنانے میں ایک دوسرے سے مقابلہ کریں گے تو یہ اس کی علامات میں سے ہے ۔ ( قیامت کے وقت کا علم ) ان پانچ چیزوں میں سے ہے جنہیں اللہ تعالیٰ کے سوا کوئی نہیں جانتا ہے ‘ ‘ پھر آپ ﷺ نے یہ آیت پڑھی : ’’بے شک اللہ تعالیٰ ہی کے پاس قیامت کا علم ہے ، وہی بارش برساتا ہے اور وہی جانتا ہے کہ ارحام ( ماؤں کے پیٹوں ) میں کیا ہے ، کوئی ذی روح نہیں جانتا کہ وہ کل کیا کرے گا ، نہ کسی متنفس کویہ معلوم ہے کہ وہ زمین کے کس حصے میں فوت ہو گا ، بلاشبہ اللہ تعالیٰ علم والا خبردار ہے ۔ ‘ ‘ حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے ) کہا : پھر وہ آدمی واپس چلا گیا تو رسول اللہ ﷺ نے فرمایا : ’’ اس آ دمی کو میرے پاس واپس لاؤ ۔ ‘ ‘ صحابہ کرام ‌رضی ‌اللہ ‌عنہ ‌ ‌ اسے واپس لانے کے لیے بھاک دوڑ کرنےلگے تو انہیں کچھ نظر نہ آیا ، رسول اللہ نے فرمایا : ’’یہ جبریل ‌علیہ ‌السلام ‌ تھے جو لوگوں کو ان کا دین سکھانے آئے تھے ۔ ‘ ‘
hadith|9|(ابن علیہ کے بجائے ) محمد بن بشر نےکہا : ہمیں ابو حیان نے سابقہ سند سے وہی حدیث بیان کی ، البتہ ان کی روایت میں : إذا ولدت الأمة بعلها ’’ جب لونڈی اپنا مالک جنے گی ‘ ‘ ( رب کی جگہ بعل ، یعنی مالک ) کے الفاظ ہیں ۔ ( أمة سے مملوکہ ) لونڈیاں مراد ہیں ۔
