collection||المستدرك على الصحيحين
book||كتاب الإيمان
book_intro||| بسم الله الرحمن الرحيم | مقدمة المصنف . بسم الله الرحمن الرحيم وبه نستعين وما توفيقي إلا بالله وصلى الله على سيدنا | محمد وعلى آله وأصحابه وسلم . أنبانا الحاكم أبو عبد الله : محمد بن عبد الله بن محمد الحافظ ، إملاء في يوم | الإثنين السابع من المحرم سنة ثلاث وسبعين وثلاث مائة . الحمد لله العزيز القهار ، الصمد الحبار ، العالم بالأسرار ، الذي اصطفى سيد | البشر محمد بن عبد الله بنبوته ورسالته ، وحذر جميع خلقه مخالفته ، فقال عز من قائل ^ ( فلا وربك لا يؤمنون حتى يحكمونك فيما شجر بينهم ثم لا يجدون في أنفسهم حرجا مما قضيت ويسلموا تسليما ) ^ [ سورة النساء ، الآية : 65 ] وصلوات الله عليه وأله | أجمعين . أما بعد ، فإن الله تعالى ذكره أنعم على هذه الأمة باصطفائه بصحبة نبيه صلى الله | عليه وسلم وعلى آله أخيار خلقه في عصره ، وهم الصحابة النجباء ، البررة الأتقياء ، لزموه في | الشدة والرخاء ، حتى حفظوا عنه ما شرع لأمته بأمر الله تعالى ذكره ، ثم نقلوه إلى | أتباعهم ، ثم كذلك عصرا بعد عصر إلى عصرنا هذا ، وهو هذه الأسانيد المنقولة إلينا | بنقل العدل إلى العدل ، وهي كرامة من الله لهذه الأمة خصهم بها دون سائر الأمم ، ثم | قيض الله لكل عصر جماعة من علماء الدين ، وأئمة المسلمين ، يزكون رواة الأخبار ونقلة | الآثار ليذبوا به الكذب عن وحي الملك الجبار ، فمن هؤلاء الأئمة : أبو عبد الله : محمد بن إسماعيل الجعفي ، وأبو الحسين : مسلم بن الحجاج | القشيري رضي الله عنهما ، صنفا في صحيح الأخبار كتابين مهذبين انتشر ذكرهما في | الأقطار ، ولم يحكما ولا واحد منهما أنه لم يصح من الحديث غير ما أخرجه ، وقد نبغ في | عصرنا هذا جماعة ومن المبتدعة يشتمون برواة الآثار ، بأن جميع ما يصح عندكم من | الحديث لا يبلغ عشرة آلاف حديث ، وهذه الأسانيد المجموعة المشتملة على ألف جزء أو | أقل أو أكثر منه كلها سقيمة غير صحيحة . وقد سألني جماعة من أعيان أهل العلم بهذه المدينة وغيرها أن أجمع كتابا يشتمل | على الأحاديث المروية بأسانيد يحتج محمد بن إسماعيل ، ومسلم بن الحجاج بمثلها ، إذ | لا سبيل إلى إخراج ما لا علة له ، فإنهما رحمهما الله لم يدعيا ذلك لأنفسهما . وقد خرج جماعة من علماء عصرهما ومن بعدهما عليهما أحاديث قد أخرجاها ، | وهي معلولة ، وقد جهدت في الذب عنهما في ' المدخل إلى الصحيح ' بما رضيه أهل | الصنعة ، وأنا أستعين الله على إخراج أحاديث رواتها ثقات ، قد احتج بمثلها الشيخان | رضي الله عنهما أو أحدهما ، وهذا شرط الصحيح عند كافة فقهاء أهل الإسلام أن الزيادة | في الأسانيد والمتون من الثقات مقبولة ، والله المعين على ما قصدته ، وهو حسبي ونعم | الوكيل . فمن الأحاديث التي مدخلها : |
hadith|1|أخبرنا أبو محمد عبد الله بن محمد بن إسحاق الخزاعي بمكة ثنا عبد الله بن محمد بن أبي ميسرة ثنا عبد الله بن يزيد المقرئ ثنا سعيد بن أبي أيوب حدثني بن عجلان عن القعقاع بن حكيم عن أبي صالح عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم * أكمل المؤمنين ايمانا أحسنهم خلقا
hadith|2|حدثناه علي بن حمشاد العدل ثنا أبو المثنى ثنا مسدد ثنا عبد الوهاب ثنا محمد بن عمرو عن أبي سلمة عن أبي هريرة أن نبي الله صلى الله عليه وسلم قال * أكمل المؤمنين إيمانا أحسنهم خلقا هذا حديث صحيح ولم يخرج في الصحيحين وهو صحيح على شرط مسلم بن الحجاج فقد استشهد بأحاديث للقعقاع عن أبي صالح عن أبي هريرة ومحمد بن عمرو وقد احتج بمحمد بن عجلان وقد روي هذا الحديث أيضا عن محمد بن سيرين عن أبي هريرة وشعيب بن الحبحاب عن أنس ورواه بن علية عن خالد الحذاء عن أبي قلابة عن عائشة وأنا أخشى أن أبا قلابة لم يسمعه عن عائشة
hadith|3|حدثنا أبو العباس محمد بن يعقوب ثنا إبراهيم بن مرزوق ثنا أبو داود ثنا شعبة عن أبي بلج وأخبرني أحمد بن يعقوب الثقفي ثنا عمر بن حفص السدوسي ثنا عاصم بن علي ثنا شعبة عن يحيى بن أبي سليم وهو أبو بلج وهذا لفظ حديث أبي داود قال سمعت عمرو بن ميمون يحدث عن أبي هريرة عن النبي صلى الله عليه وسلم قال * من سره أن يجد حلاوة الإيمان فليحب المرء لا يحبه إلا الله هذا حديث لم يخرج في الصحيحين وقد احتجا جميعا بعمرو بن ميمون عن أبي هريرة واحتج مسلم بأبي بلج وهو حديث صحيح لا يحفظ له علة
hadith|4|حدثنا أبو العباس محمد بن يعقوب ثنا الربيع بن سليمان ثنا عبد الله بن وهب أخبرني الليث بن سعد عن عياش بن عباس القتباني عن زيد بن أسلم عن أبيه * أن عمر خرج إلى المسجد يوما فوجد معاذ بن جبل عند قبر رسول الله صلى الله عليه وسلم يبكي فقال ما يبكيك يا معاذ قال يبكيني حديث سمعته من رسول الله صلى الله عليه وسلم يقول اليسير من الرياء شرك ومن عادى أولياء الله فقد بارز الله بالمحاربة إن الله يحب الأبرار الأتقياء الأخفياء الذين إن غابوا لم يفتقدوا وإن حضروا لم يعرفوا قلوبهم مصابيح الهدى يخرجون من كل غبراء مظلمة هذا حديث صحيح ولم يخرج في الصحيحين وقد احتجا جميعا بزيد بن أسلم عن أبيه عن الصحابة واتفقا جميعا على الاحتجاج بحديث الليث بن سعد عن عياش بن عباس القتباني وهذا إسناد مصري صحيح ولا يحفظ له علة
hadith|5|حدثنا أبو جعفر محمد بن صالح بن هانئ ثنا محمد بن إسماعيل بن مهران ثنا أبو الطاهر أنبأنا بن وهب أخبرني عبد الرحمن بن ميسرة عن أبي هانئ الخولاني حميد بن هانئ عن أبي عبد الرحمن الحبلى عن عبد الله بن عمرو بن العاص قال قال رسول الله صلى الله عليه وسلم * إن الإيمان ليخلق في جوف أحدكم كما يخلق الثوب الخلق فاسألوا الله أن يجدد الإيمان في قلوبكم هذا حديث لم يخرج في الصحيحين ورواته مصريون ثقات وقد احتج مسلم في الصحيح بالحديث الذي رواه عن بن أبي عمر عن المقرئ عن حيوة عن أبي هانئ عن أبي عبد الرحمن الحبلى عن عبد الله بن عمرو عن النبي صلى الله عليه وسلم قال إن الله تعالى ذكره كتب مقادير الخلائق قبل أن يخلق السماوات والأرض الحديث
hadith|6|أخبرني أبو النضر محمد بن محمد بن يوسف الفقيه ثنا إبراهيم بن إسماعيل العنبري ثنا أبو كريب ثنا أبو خالد الأحمر عن بن عجلان عن القعقاع بن حكيم عن أبي صالح عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم * إذا أذنب العبد نكت في قلبه نكتة سوداء فإن تاب صقل منها فإن عاد زادت حتى تعظم في قلبه فذلك الران الذي ذكره الله عز وجل كلا بل ران على قلوبهم هذا حديث صحيح لم يخرج في الصحيحين وقد احتج مسلم بأحاديث القعقاع بن حكيم عن أبي صالح
hadith|7|حدثنا الامام أبو بكر أحمد بن إسحاق الفقيه أنبأ بشر بن موسى ثنا الحميدي ثنا سفيان عن الزهري عن عروة عن عائشة قالت * لم يزل رسول الله صلى الله عليه وسلم يسئل عن الساعة حتى نزلت فيم أنت من ذكراها هذا حديث لم يخرج في الصحيحين وهو محفوظ صحيح على شرطهما معا وقد احتجا معا بأحاديث بن عيينة عن الزهري عن عروة عن عائشة رضي الله عنها
hadith|8|حدثنا أبو العباس محمد بن أحمد المحبوبي بمرو ثنا سعيد بن مسعود ثنا عبيد الله بن موسى أنبأنا إسرائيل عن أبي إسحاق عن الأغر عن أبي هريرة وأبي سعيد أنهما شهدا على رسول الله صلى الله عليه وسلم قال * إذا قال العبد لا إله إلا الله والله أكبر صدقه ربه قال صدق عبدي لا إله إلا أنا وأنا وحدي وإذا قال لا إله إلا الله وحده لا شريك له صدقه ربه قال صدق عبدي لا إله إلا أنا ولا شريك لي وإذا قال لا إله الا الله له الملك وله الحمد قال صدق عبدي لا إله إلا أنا لي الملك ولي الحمد وإذا قال لا إله إلا الله ولا حول ولا قوة إلا بالله قال صدق عبدي لا حول ولا قوة إلا بي هذا حديث صحيح لم يخرج في الصحيحين وقد احتجا جميعا بحديث أبي إسحاق عن الأغر عن أبي هريرة وأبي سعيد وقد اتفقا جميعا على الحجة بأحاديث إسرائيل بن يونس عن أبي إسحاق
