collection||Virtues of the Qur'an's Chapters and Verses
collection_intro||This is a short, fully authentic collection of ahadith compiled by <a href="https://imamsuleiman.com">Shaykh Suleiman Hani</a> on the special virtues of the Qur'an's Chapters & Verses. The purpose of this collection is to make the English/Arabic compilation of narrations freely accessible in one place, while excluding weak or fabricated reports that are commonly shared by many Muslims. Shaykh Suleiman and his team have worked diligently to verify the authentication of the narrations with multiple scholars of hadith. His introduction to the compilation follows. This compilation is reproduced here with his generous permission.
book||Virtues of the Qur'an's Chapters and Verses\n
book_intro|| 
chapter||Sūrat Al-Fātihah
chapter_intro||Sūrat al-Fātiḥah (sūrah 1, the Opening) is the greatest Sūrah in the Qur’an, the foundation of Islam, the summary of what is true, a healing and a comfort, a guidance for everything that is deviated, a protection and a fortress, and the necessary sūrah for every believer’s divine link to Allah.
chapter||The Greatest Sūrah
hadith|1|<qbl>Abu Sa’id bin al-Mu’alla (RA) reported, “I was praying when the Messenger of Allah ﷺ passed by me and called me. I didn’t come to him until I finished praying. Then I came to him and he said, “What prevented you from coming? Didn’t Allah say, ‘O you who believe, respond to Allah and to the Messenger when he calls you’?” Then he said, “I shall teach you the greatest sūrah in the Qur’an before I leave.” The Messenger of Allah ﷺ started to leave so I reminded him of it.” Mu’āth said, “Shu’bah narrated this to us from Khubayb, who heard from Hafs, who heard from Abu Sa’id, a man from the companions of the Prophet (ﷺ) ﷺ, and he said, “It is ‘Alhamdu lillāhi Rabbil ‘Ālameen (i.e., Sūrah Al-Fātiḥah) which is As-Sab’ Al-Mathāni (i.e., the seven oft-repeated āyāt).” Reference:</qbl><text>Sahih al-Bukhari 4474</text>
hadith|2|<qbl>Anas bin Mālik reported that the Messenger of Allah ﷺ was heading somewhere and a man came to his side, so the Prophet (ﷺ) ﷺ turned to him and said, “Shall I not inform you about the greatest (part) of the Quran? The man said, “Yes.” So he (the Prophet (ﷺ) ﷺ) recited, Alhamdu lillāhi Rabbil ‘Ālameen (i.e., Sūrah Al-Fātiḥah). Reference:</qbl><text>Sunan an-Nasāʾī al-Kubrā 8011, Ṣaḥīḥ Ibn Ḥibbān 774, and Mustadrak al-Ḥākim 2056 with slight variations</text>
chapter||Nothing similar to Sūrah al-Fātiḥah was ever revealed in any of the previous scriptures or to the previous prophets and messengers.
hadith|3|<qbl>It was narrated that Ubayy bin Ka’b said, “The Messenger of Allah ﷺ said, Allah did not reveal in the Tawrāh or the Injīl anything like Umm al-Quran (al-Fātiḥah), which is the seven oft-recited (verses), and (Allah said) it is divided between Myself and My slave will have what he asked for.” Reference:</qbl><text>Jami` at-Tirmidhi 3125</text>
