collection||Sahih Muslim
collection_intro||
book||
chapter||
hadith|8a|
hadith|8b|Rapporté par Yahya b. Ya’mur : Lorsque Ma’bad a discuté du problème du Décret divin, nous l’avons réfuté. Le narrateur dit : « Humaid b. Abdur-Rahman Himyari et moi avons discuté. » Ils ont poursuivi la conversation à propos du sens du hadith rapporté par Kahmas et de sa chaîne de transmission, avec quelques variations dans les mots
hadith|8c|Rapporté par Yahya b. Ya’mur et Humaid b. ‘Abdur-Rahman : Ils ont dit : « Nous avons rencontré Abdullah b. ‘Umar et nous avons discuté du Décret divin et de ce qu’ils en disaient, et il a rapporté le hadith transmis par ‘Umar رضي الله عنه du Messager ﷺ. Il y a une légère différence dans le récit. »
hadith|8d|Le même hadith est rapporté par une autre chaîne de transmission
chapter||
hadith|8e|Rapporté par Abū Huraira رضي الله عنه : Un jour, le Messager d’Allah ﷺ est apparu devant les gens. Un homme est venu vers lui et a dit : « Prophète d’Allah, qu’est-ce que la foi (iman) ? » Le Prophète ﷺ a répondu : « C’est que tu crois en Allah, en Ses anges, en Ses Livres, en Sa rencontre, en Ses Messagers et que tu crois à la Résurrection après la mort. » L’homme a dit : « Messager d’Allah, qu’est-ce que l’islam ? » Il a répondu : « L’islam, c’est que tu adores Allah sans rien Lui associer, que tu accomplisses la prière obligatoire, que tu verses la zakat obligatoire et que tu jeûnes le Ramadan. » L’homme a dit : « Messager d’Allah, qu’est-ce que l’excellence (ihsan) ? » Il a répondu : « C’est que tu adores Allah comme si tu Le voyais, et même si tu ne Le vois pas, Lui te voit. » L’homme a dit : « Messager d’Allah, quand aura lieu l’Heure (du Jugement) ? » Il a répondu : « Celui qui est interrogé n’en sait pas plus que celui qui interroge, mais je vais te citer quelques-uns de ses signes : quand la servante donnera naissance à son maître, quand les pieds-nus et démunis deviendront les chefs du peuple, quand les bergers de chameaux noirs rivaliseront dans la construction de bâtiments : cela fait partie de ses signes. (L’Heure) fait partie des cinq choses que seul Allah connaît. » Puis il a récité : « En vérité, la connaissance de l’Heure est auprès d’Allah seul. C’est Lui qui fait descendre la pluie, qui sait ce qu’il y a dans les matrices. Nul ne sait ce qu’il gagnera demain, et nul ne sait dans quelle terre il mourra. Allah est certes Omniscient, Parfaitement Connaisseur. » Abū Huraira رضي الله عنه a dit : L’homme s’est alors levé et est parti. Le Messager d’Allah ﷺ a dit : « Ramenez-moi cet homme. » Ils sont partis le chercher, mais ils n’ont rien trouvé. Le Messager d’Allah ﷺ a alors dit : « C’était Gabriel, venu enseigner la religion aux gens. »
hadith|9|Ce hadith nous est rapporté par Muhammad b. ‘Abdullah b. Numair, d’après Muhammad b. Bishr, d’après Abd Hayyan al-Taymi, avec la différence que dans cette version, au lieu de « Iza Waladat al’amah rabbaha », il est dit : « Iza Waladat al’amah Ba’laha », c’est-à-dire : « quand la servante donnera naissance à son maître. »
chapter||
