collection||Sahih Muslim
collection_intro||
book||
chapter||
hadith|8a|
hadith|8b|
hadith|8c|
hadith|8d|
chapter||
hadith|8e|Dan telah menceritakan kepada kami [Abu Bakar bin Abu Syaibah] dan [Zuhair bin Harb] semuanya dari [Ibnu Ulayyah], [Zuhair] berkata, telah menceritakan kepada kami [Ismail bin Ibrahim] dari [Abu Hayyan] dari [Abu Zur'ah bin Amru bin Jarir] dari [Abu Hurairah] dia berkata, "Rasulullah shallallahu 'alaihi wasallam pada suatu hari berada di hadapan manusia, lalu seorang laki-laki mendatanginya seraya berkata, 'Wahai Rasulullah, apakah iman itu? ' Beliau menjawab, 'Kamu beriman kepada Allah, malaikat-Nya, kitab-Nya, beriman kepada kejadian pertemuan dengan-Nya, beriman kepada para Rasul-Nya, dan kamu beriman kepada hari kebangkitan yang akhir'. Dia bertanya, 'Wahai Rasulullah, apakah Islam itu? ' Beliau menjawab, 'Islam adalah kamu menyembah Allah dan tidak menyekutukan-Nya dengan sesuatu apa pun, mendirikan shalat yang wajib, membayar zakat yang difardlukan, dan berpuasa Ramadlan.' Dia bertanya lagi, 'Wahai Rasulullah, apakah ihsan itu? ' Beliau menjawab, 'Kamu menyembah Allah seakan-akan kamu melihat-Nya, maka jika kamu tidak melihat-Nya maka sesungguhnya Dia melihatmu.' Dia bertanya lagi, 'Wahai Rasulullah, kapankah hari kiamat itu? ' Beliau menjawab, 'Tidaklah orang yang ditanya tentangnya lebih mengetahui jawaban-Nya daripada orang yang bertanya, akan tetapi aku akan menceritakan kepadamu tentang tanda-tandanya; yaitu bila hamba wanita melahirkan tuan-Nya. Itulah salah satu tanda-tandanya. (Kedua) bila orang yang telanjang tanpa alas kaki menjadi pemimpin manusia. Itulah salah satu tanda-tandanya. (Ketiga) apabila penggembala kambing saling berlomba tinggi-tinggian dalam (mendirikan) bangunan. Itulah salah satu tanda-tandanya dalam lima tanda-tanda, tidak ada yang mengetahuinya kecuali Allah, " kemudian beliau shallallahu 'alaihi wasallam membaca: '(Sesungguhnya Allah, hanya pada sisi-Nya sajalah pengetahuan tentang Hari Kiamat; dan Dia-lah Yang menurunkan hujan, dan mengetahui apa yang ada dalam rahim.Dan tiada seorangpun yang dapat mengetahui (dengan pasti) apa yang akan diusahakan-Nya besok.Dan tiada seorangpun yang dapat mengetahui di bumi mana dia akan mati. Sesungguhnya Allah Maha Mengetahui lagi Maha Mengenal) ' (Qs. Luqman: 34). Kemudian laki-laki tersebut kembali pergi. Maka Rasulullah shallallahu 'alaihi wasallam bersabda: "Panggil kembali laki-laki tersebut menghadapku'. Maka mereka mulai memanggilnya lagi, namun mereka tidak melihat sesuatu pun. Maka Rasulullah shallallahu 'alaihi wasallam bersabda: "Ini Jibril, dia datang untuk mengajarkan manusia tentang agama mereka'." Telah menceritakan kepada kami [Muhammad bin Abdullah bin Numair] telah menceritakan kepada kami [Muhammad bin Bisyr] telah menceritakan kepada kami [Abu Hayyan at-Taimi] dengan sanad ini hadits semisalnya, hanya saja dalam riwayatnya ada kalimat, 'Apabila hamba wanita melahirkan suaminya, yaitu para gundik
hadith|9|
chapter||
