collection||Sahih Muslim
collection_intro||
book||
chapter||
hadith|8a|
hadith|8b|Сообщается, что Яхйа ибн Я‘мар сказал: «Когда Ма‘бад говорил о том, что он говорил по поводу предопределения /кадар/, мы отвергли это». Он (Яхйа ибн Я‘мар) сказал: «И вот я и Хумайд ибн ‘Абдуррахман аль-Химьяри отправились в хадж». И они передали хадис, близкий по смыслу хадису Кахмаса и с его цепочкой передатчиков, в которой есть некоторое добавление и некоторое убавление
hadith|8c|Сообщается, что Яхйа ибн Я‘мар и Хумайд ибн ‘Абдуррахман сказали: «Мы встретили ‘Абдуллу ибн ‘Умара и упомянули о предопределении и о том, что говорят по этому поводу». И был рассказан хадис, похожий на тот, что они рассказали от ‘Умара, да будет доволен им Аллах, а тот от Пророка ﷺ. В этом хадисе кое-что добавлено, и есть кое-что, что он урезал
hadith|8d|Сообщается, что Яхйа ибн Я‘мар передал от Ибн ‘Умара, а тот от ‘Умара, а тот от Пророка ﷺ хадис, подобный их хадисам
chapter||
hadith|8e|Сообщается, что Абу Хурайра, да будет доволен им Аллах, сказал: «Однажды, когда Посланник Аллаха ﷺ находился среди людей, к нему подошёл какой-то человек и спросил: «О Посланник Аллаха, что такое иман (вера)?» (Пророк ﷺ) сказал: «(Суть имана в том), чтобы ты верил в Аллаха, в Его ангелов, в Его Книгу, во встречу с Ним и в Его посланников, и чтобы ты верил в последнее Воскресение». (Тот человек) спросил: «О Посланник Аллаха, что такое ислам?» Он сказал: «(Суть) ислама (в том), чтобы ты поклонялся Аллаху и ничему более наряду с Ним, совершал предписанные молитвы, выплачивал обязательный закят и соблюдал пост в рамадане». (Человек) спросил: «О Посланник Аллаха, что такое ихсан?» Он сказал: «(Суть ихсана в том), чтобы ты поклонялся Аллаху так, будто видишь Его, а если ты Его не видишь, то, (помня о том, что) Он, поистине, видит тебя». (Человек) спросил: «О Посланник Аллаха, когда настанет Час этот?» Он сказал: «Тот, кого спрашивают о (Часе этом), знает не больше задающего вопрос, однако я расскажу тебе о его признаках. (Одним) из его признаков станет то, что рабыня породит свою госпожу, и (одним) из них станет то, что люди, (которые прежде были) нагими и босыми, станут править (другими) людьми, и (одним) из них станет то, что пастухи, (которые когда-то пасли) овец и коз, будут похваляться друг перед другом (размерами и количеством своих) домов. (Что же касается знания о времени его наступления, то оно относится к числу) пяти (вещей), и которых известно только Аллаху», после чего он ﷺ прочитал (следующий) аят: «Поистине, (лишь) Аллаху ведомо, (когда наступит) Час этот, и (только) Он ниспосылает дождь, и (только) Он знает, что (скрыто) в утробах. Не знает человек, что приобретёт он завтра, и не знает человек, в какой земле умрёт. Поистине, Аллах Знающий, Всеведущий!» (сура «Лукман», аят 34). (Абу Хурайра) сказал: «Затем этот человек ушёл, а Посланник Аллаха ﷺ велел: “Верните ко мне этого человека”. Люди стали (искать) его, чтобы вернуть, но никого не увидели, и тогда Посланник Аллаха ﷺ сказал: “Это был Джибриль, который приходил для того, чтобы научить людей их религии”»
hadith|9|От Абу Хаййана ат-Тайми с этим же иснадом передается похожее (сообщение), исключая то, что в его версии сказано: «Рабыня родит своего господина», имея ввиду наложницу
chapter||
