collection||Sahih Muslim
collection_intro||
book||
chapter||
hadith|8a|
hadith|8b|யஹ்யா பின் யஅமர் (ரஹ்) அவர்கள் கூறியதாவது: மஅபத் பின் காலித் அல்ஜுஹனீ என்பார் விதி தொடர்பாக (மாறுபட்ட) கருத்தைத் தெரிவித்த போது அதை நாங்கள் ஆட்சேபித்தோம். இந்நிலையில், நானும் ஹுமைத் பின் அப்திர் ரஹ்மான் (ரஹ்) அவர்களும் ஒரு தடவை ஹஜ்ஜுக்குச் சென்றோம். இதையடுத்து மேற்கண்ட ஹதீஸை அதன் அறிவிப்பாளர்தொடர் (இஸ்னாத்) உடன் அப்படியே முழுமையாகக் கூறுகிறார்கள். ஆனால், அதில் சிற்சில வார்த்தைகளில் கூடுதல் குறைவு உண்டு.- இந்த ஹதீஸ் மூன்று அறிவிப்பாளர்தொடர்களில் வந்துள்ளது. அத்தியாயம் :
hadith|8c|அப்துல்லாஹ் பின் புரைதா (ரஹ்) அவர்கள் கூறியதாவது: யஹ்யா பின் யஅமர் (ரஹ்) மற்றும் ஹுமைத் பின் அப்திர் ரஹ்மான் (ரஹ்) ஆகியோர், நாங்கள் (ஹஜ்ஜுக்குச் சென்றிருந்தபோது) அப்துல்லாஹ் பின் உமர் (ரலி) அவர்களைச் சந்தித்தோம். அப்போது விதியைப் பற்றியும் அது குறித்து அவர்கள் (மஅபதும் அவர் ஆதரவாளர்களும்) சொல்லிக்கொண்டிருப்பதைப் பற்றியும் குறிப்பிட்டோம்" என்று கூறிவிட்டு, உமர் (ரலி) அவர்கள் நபி (ஸல்) அவர்களிடமிருந்து அறிவிக்கும் (மேற்கண்ட) ஹதீஸிலுள்ளபடி அறிவித்தனர். ஆனால், அதைவிடச் சற்றுக் கூடுதலாகவும் சில இடங்களில் சற்றுக் குறைத்தும் அறிவித்தனர். இந்த ஹதீஸ் இரு அறிவிப்பாளர்தொடர்களில் வந்துள்ளது. அத்தியாயம் :
hadith|8d|மேற்கண்ட ஹதீஸ் மற்றோர் அறிவிப்பாளர் தொடர் வழியாகவும் வந்துள்ளது. அத்தியாயம் :
chapter||
hadith|8e|அபூஹுரைரா (ரலி) அவர்கள் கூறியதாவது: அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள் ஒரு நாள் மக்கள் முன் வந்திருந்தார்கள். அப்போது ஒரு மனிதர் அவர்களிடம் வந்து,அல்லாஹ்வின் தூதரே! ஈமான் (இறைநம்பிக்கை) என்றால் என்ன?" என்று கேட்டார். அதற்கு நபி (ஸல்) அவர்கள்,அல்லாஹ்வையும் அவனுடைய வானவர் (மலக்கு)களையும், அவனுடைய வேதத்தையும், அவனது சந்திப்பையும், அவனுடைய தூதர்களையும் நீங்கள் நம்புவதும், (மரணத்திற்குப் பின்) இறுதியாக (அனைவரும்) உயிருடன் எழுப்பப்படுவதை நம்புவதும் ஆகும்" என்று பதிலளித்தார்கள். அல்லாஹ்வின் தூதரே! இஸ்லாம்" (அடிபணிதல்) என்றால் என்ன?" என்று அவர் கேட்டார். நபி (ஸல்) அவர்கள், இஸ்லாம் என்பது அல்லாஹ்வை நீங்கள் வணங்குவதும், அவனுக்கு நீங்கள் எதையும் இணைவைக்காமலிருப்பதும், கடமையான தொழுகையைக் கடைப்பிடிப்பதும், கடமையான ஸகாத்தை நிறைவேற்றி வருவதும், ரமளான் மாதத்தில் நோன்பு நோற்பதும் ஆகும்" என்றார்கள். அம்மனிதர், அல்லாஹ்வின் தூதரே! இஹ்சான் (அழகிய முறையில் செயலாற்றல்) என்றால் என்ன?" என்று கேட்டார். நபி (ஸல்) அவர்கள், இஹ்சான் என்பது அல்லாஹ்வை நீங்கள் பார்த்துக்கொண்டிருப்பதைப் போன்ற உணர்வுடன் வழிபடுவதாகும். நீங்கள் அவனைப் பார்த்துக்கொண்டிராவிட்டாலும் அவன் உங்களைப் பார்த்துக்கொண்டிருக்கிறான்" என்று பதிலளித்தார்கள்.அல்லாஹ்வின் தூதரே! மறுமை(நாள்) எப்போது வரும்?" என்று அம்மனிதர் கேட்க, நபி (ஸல்) அவர்கள், கேள்வி கேட்கப்படுபவர் (அதாவது நான்), கேட்பவரைவிட (அதாவது உங்களைவிட) அதிகம் அறிந்தவர் அல்லர். ஆயினும், நான் உங்களுக்கு மறுமை நாளின் அடையாளங்கள் சிலவற்றை எடுத்துரைக்கிறேன் என்றார்கள்: ஓர் அடிமைப் பெண் தன் எசமானைப் பெற்றெடுப்பாளாயின் அது மறுமையின் அடையாளங்களில் ஒன்றாகும். முழு ஆடையில்லாத, செருப்பணியாதவர்கள் எல்லாம் மக்களின் தலைவர்களாக இருந்தால் அதுவும் அதன் அடையாளங்களில் ஒன்றாகும். ஆட்டுக்குட்டிகளை மேய்ப்பவர்கள் போட்டி போட்டுக்கொண்டு உயரமான கட்டடங்களைக் கட்டினால் அதுவும் மறுமையின் அடையாளங்களில் ஒன்றாகும். (மறுமை நாள் எப்போது நிகழவிருக்கிறது எனும் அறிவானது) அல்லாஹ்வைத் தவிர வேறெவரும் அறியாத ஐந்து விஷயங்களில் அடங்கும். பிறகு,நிச்சயமாக, மறுமை (நாள் எப்போது நிகழும் என்பது) பற்றிய அறிவு அல்லாஹ்விடமே உள்ளது. அவனே மழையை இறக்கிவைக்கிறான். இன்னும் அவன் கர்ப்பங்களில் உள்ளவற்றையும் (தீர்க்கமாக) அறிகின்றான். தாம் நாளை என்ன சம்பாதிப்போம் என்பதை (அவனைத் தவிர வேறு) யாரும் (உறுதியாக) அறிவதில்லை. எந்த இடத்தில் தாம் இறக்கப்போகிறோம் என்பதையும் எவரும் அறிவதில்லை. அல்லாஹ்தான் (இவற்றையெல்லாம்)நன்கறிந்தவன்; நுணுக்கமானவன்" எனும் (31:34ஆவது) இறை வசனத்தை நபியவர்கள் ஓதிக் காட்டினார்கள். பின்னர் (கேள்வி கேட்ட) அம்மனிதர் திரும்பிச் சென்றுவிட்டார். அப்போது அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள், அந்த மனிதரைத் திரும்ப என்னிடம் அழைத்துவாருங்கள்" என்று சொன்னார்கள். மக்கள் உடனே அவரைத் திரும்ப அழைத்துவரச் செல்லலாயினர். (அவரைத் தேடியும்) அவரை அவர்கள் எங்கேயும் காணவில்லை. பின்னர், அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள், இ(ப்போது வந்து போன)வர், (வானவர்) ஜிப்ரீல் (அலை) அவர்கள்தாம். மக்களுக்கு அவர்களது மார்க்கத்(தின் அடிப்படைத் தத்துவத்)தை கற்றுத் தருவதற்காக அவர் வந்திருந்தார்" என்று சொன்னார்கள். இந்த ஹதீஸ் இரு அறிவிப்பாளர்தொடர்களில் வந்துள்ளது. அத்தியாயம் :
hadith|9|மேற்கண்ட ஹதீஸ் மற்றோர் அறிவிப்பாளர்தொடர் வழியாக முஹம்மத் பின் அப்தில்லாஹ் பின் நுமைர் (ரஹ்) அவர்களால் அறிவிக்கப்பெற்றுள்ளது. ஆயினும், அவர்களது அறிவிப்பில் (ஓர் அடிமைப் பெண் தன் எசமானைப் பெற்றெடுப்பாளாயின்..." என்பதற்கு பதிலாக) ஓர் அடிமைப் பெண் தன் கணவனைப் பெற்றெடுப்பாளாயின்..." என்று காணப்படுகிறது. அத்தியாயம் :
