collection||Sunan an-Nasa'i
collection_intro||Sunan an-Nasa'i is a collection of hadith compiled by Imam Ahmad an-Nasa'i (rahimahullah).\nHis collection is unanimously considered to be one of the six canonical collections of hadith (Kutub as-Sittah)\nof the Sunnah of the Prophet (ﷺ).\nIt contains roughly 5700 hadith (with repetitions) in 52 books.\n
book||The Book of Purification
chapter||Interpreting The Saying Of Allah, The Mighty And Sublime: When You Intend To Offer Salah (The Prayer), wash your faces and your hands (forearms) up to your elbows
hadith|1|<qbl>It was narrated from Abu Hurairah that the Prophet (ﷺ) said:</qbl><text>"When any one of you wakes from sleep, let him not dip his hand in (the water he uses for) his Wudu' until he has washed it three times, for none of you knows where his hand spent the night."</text>
chapter||(Using) Siwak When Arising During The Night
hadith|2|<qbl>It was narrated that Huthaifah said:</qbl><text>"When the Messenger of Allah (ﷺ) got up at night, he would brush his mouth with the Siwak."</text>
chapter||How To Use The Siwak
hadith|3|<qbl>It was narrated that Abu Musa said:</qbl><text>"I came to the Messenger of Allah (ﷺ) when he was using the Siwak, and the end of the Siwak was on his toungue, and he was saying, "'A','a'."</text>
chapter||Can The Imam Use The Siwak In The Presence Of his Followers?
hadith|4|<qbl>It was narrated from Abu Burdah that Abu Musa said:</qbl><text>"I came to the Prophet (ﷺ) when he was using the Siwak and with me were two men of the Ash'aris - one on my right and the other on my left - who were seeking to be appointed as officials. I said: 'By the One Who sent you as a Prophet (ﷺ) with the truth, they did not tell me why they wanted to come with me and I did not realize that they were seeking to be appointed as officials.' And I could see his Siwak beneath his lip, then it slipped and he said: 'We do not' - or; 'We will never appoint as an official anyone who seeks that. Rather you should go.'" So he sent his (Abu Musa) to Yemen, then he sent Mu'adh bin Jabal to go after him - may Allah be pleased with them.</text>
chapter||Encourangement To Use The Siwak
hadith|5|<qbl>'Abdur-Rahman bin Abu 'Atiq said:</qbl><text>"My father told me: 'I heard 'Aishah say, (narrating) from the Prophet (ﷺ): "Siwak is a means of purification for the mouth and is pleasing to the Lord."</text>
chapter||Using Siwak A Great Deal
hadith|6|<qbl>It was narrated that Anas bin Malik said:</qbl><text>"The Messenger of Allah (ﷺ) said: 'I have indeed urged you with regard to the Siwak.'"</text>
chapter||Permitting The Usage Of Siwak In The Afternoon For One Who Is Fasting
hadith|7|<qbl>It was narrated from Abu Hurairah that the Messenger of Allah (ﷺ) said:</qbl><text>"Were it not that it would be too difficult for my Ummah, I would have commanded them to use the Siwak at (the time of) every Salah."</text>
chapter||(Using) Siwak At All Times
hadith|8|<qbl>It was narrated from Al-Miqdam - Abu Shuraih - that his father said:</qbl><text>"I said to 'Aishah: 'What did the Prophet (ﷺ) start with when he entered his house?' She said: 'The Siwak.'"</text>
chapter||Mentioning The Fitrah (The Natural Inclination Of Man) - Circumcision
hadith|9|<qbl>It was narrated from Abu Hurairah that the Messenger of Allah (ﷺ) said:</qbl><text>"The Fitrah are five: Circumcision, removing the pubes, trimming the mustache, clipping the nails, and plucking the armpit hairs."</text>
chapter||Clipping The Nails
hadith|10|<qbl>It was narrated that Abu Hurairah said:</qbl><text>"The Messenger of Allah (ﷺ) said: 'The Fitrah are five: Trimming the mustache, plucking the armpit hairs, clipping the nails, removing the pubes, and circumcision.'"</text>
chapter||Plucking The Armpit Hairs
hadith|11|<qbl>It was narrated from Abu Hurairah that the Prophet (ﷺ) said:</qbl><text>"The Fitrah are five: Circumcision, shaving the pubes, plucking the armpit hairs, clipping the nails and taking from the mustache."</text>
chapter||Shaving The Pubes
hadith|12|<qbl>It was narrated from Ibn 'Umar that the Messenger of Allah (ﷺ) said:</qbl><text>"The deeds connected to the Fitrah are: Clipping the nails, removing the mustache and shaving the pubes."</text>
chapter||Trimming The Mustache
hadith|13|<qbl>It was narrated that Zaid bin Arqam said:</qbl><text>"The Messenger of Allah (ﷺ) said: 'Whoever does not trim his mustache, he is not from one of us.'"</text>
chapter||The Time Limit For That
hadith|14|<qbl>It was narrated that Anas bin Malik said:</qbl><text>"A time limit was set for us, by the Messenger of Allah (ﷺ), regarding trimming the mustache, clipping the nails and plucking the pubes; we were not to leave that for more than forty days," on one occasion he said: "Forty nights."</text>
chapter||Trimming The Mustache And Letting The Beard Grow
hadith|15|<qbl>It was narrated from Ibn 'Umar that the Prophet (ﷺ) said:</qbl><text>"Trim the mustache and let the beard grow."</text>
chapter||Moving far Away (From Everyone) When Relieving Oneself
hadith|16|<qbl>It was narrated that 'Abdur-Rahman bin Abi Qurad said:</qbl><text>"I went out with the Messenger of Allah (ﷺ) to an isolated area, and when he wanted to relieve himself he moved far away."</text>
hadith|17|<qbl>It was narrated from Al-Mughirah bin Shu'bah that when the Prophet (ﷺ) would go away (to relieve himself) he would go far away. He went to relieve himself when he was on one of his journeys, and said:</qbl><text>"Bring me (water for) Wudu'." So I brought him (water for) Wudu', and he performed Wudu' and wiped over his Khuffs. The Shaikh [1] said: "Isma'il (one of the narrators) is Ibn Ja'far bin Abi Kathir Al-Qari. [1] Meaning the author, and it appears that Ibn As-Sunni who heard the text, said this.</text>
chapter||Allowing One To Not To Do That
hadith|18|<qbl>It was narrated that Hudhaifah said:</qbl><text>"I was walking with the Messenger of Allah (ﷺ) and he came to some people's garbage dump and urinated while standing up. I turned to go away, but he called me back (to conceal him), and I was just behind him. Then when he had finished, he performed Wudu' and wiped over his Khuffs."</text>
chapter||What To Say When Entering Al-Khala' (The Toilet)
hadith|19|<qbl>It was narrated that Anas bin Malik said:</qbl><text>"The Messenger of Allah (ﷺ) entered Al-Khala' (the toilet) and said: 'Allahumma inni a'uthu bika min al-khubuthi wal-khaba'ith (O Allah, I seek refuge with You from male and female devils)."[1] [1] See Ma'alam As-Sunan by Al-Khattabi. And Al-Khala' is the area one relieves oneself in. It refers to outside or other than that, it should not be understood to mean toilet only.</text>
chapter||The Prohibition Of Facing The Qiblah When Relieving Oneself
