collection,collection_name,book_number,book_name,line,hadith_num,extracted_value,expected_range
muslim,Sahih Muslim,4,The Book of Prayers,1047,274l,274,410-480
muslim,Sahih Muslim,4,The Book of Prayers,1048,274m,274,410-480
muslim,Sahih Muslim,5,The Book of Mosques and Places of Prayer,1409,389f,389,564-648
muslim,Sahih Muslim,5,The Book of Mosques and Places of Prayer,1410,389g,389,564-648
muslim,Sahih Muslim,5,The Book of Mosques and Places of Prayer,1411,389h,389,564-648
muslim,Sahih Muslim,5,The Book of Mosques and Places of Prayer,1412,389i,389,564-648
muslim,Sahih Muslim,5,The Book of Mosques and Places of Prayer,1663,33c,33,564-648
muslim,Sahih Muslim,5,The Book of Mosques and Places of Prayer,1664,33d,33,564-648
muslim,Sahih Muslim,5,The Book of Mosques and Places of Prayer,1665,33e,33,564-648
muslim,Sahih Muslim,6,The Book of Prayer - Travellers,1855,336d,336,717-795
muslim,Sahih Muslim,6,The Book of Prayer - Travellers,1856,336e,336,717-795
muslim,Sahih Muslim,6,The Book of Prayer - Travellers,1857,336f,336,717-795
muslim,Sahih Muslim,6,The Book of Prayer - Travellers,1858,336g,336,717-795
muslim,Sahih Muslim,12,The Book of Zakat,2613,94c,94,998-1059
muslim,Sahih Muslim,12,The Book of Zakat,2614,94d,94,998-1059
muslim,Sahih Muslim,12,The Book of Zakat,2657,157c,157,998-1059
muslim,Sahih Muslim,12,The Book of Zakat,2658,157d,157,998-1059
muslim,Sahih Muslim,12,The Book of Zakat,2778,150e,150,998-1059
muslim,Sahih Muslim,12,The Book of Zakat,2779,150f,150,998-1059
muslim,Sahih Muslim,12,The Book of Zakat,2780,150g,150,998-1059
muslim,Sahih Muslim,13,The Book of Fasting,3051,827b,827,1101-1151
muslim,Sahih Muslim,13,The Book of Fasting,3052,827c,827,1101-1151
muslim,Sahih Muslim,13,The Book of Fasting,3113,782c,782,1101-1151
muslim,Sahih Muslim,13,The Book of Fasting,3173,762d,762,1101-1151
muslim,Sahih Muslim,13,The Book of Fasting,3174,762e,762,1101-1151
muslim,Sahih Muslim,15,The Book of Pilgrimage,3553,703e,703,1211-1332
muslim,Sahih Muslim,15,The Book of Pilgrimage,3731,827d,827,1211-1332
muslim,Sahih Muslim,15,The Book of Pilgrimage,3732,827e,827,1211-1332
muslim,Sahih Muslim,15,The Book of Pilgrimage,3733,827f,827,1211-1332
muslim,Sahih Muslim,15,The Book of Pilgrimage,3734,827g,827,1211-1332
muslim,Sahih Muslim,15,The Book of Pilgrimage,3735,827h,827,1211-1332
muslim,Sahih Muslim,16,The Book of Marriage,4004,1365c,1365,1407-1432
muslim,Sahih Muslim,16,The Book of Marriage,4005,1365d,1365,1407-1432
muslim,Sahih Muslim,16,The Book of Marriage,4006,154b,154,1407-1432
muslim,Sahih Muslim,16,The Book of Marriage,4007,1365e,1365,1407-1432
muslim,Sahih Muslim,16,The Book of Marriage,4009,1365f,1365,1407-1432
muslim,Sahih Muslim,17,The Book of Suckling,4170,715d,715,1445-1460
muslim,Sahih Muslim,17,The Book of Suckling,4172,715e,715,1445-1460
muslim,Sahih Muslim,17,The Book of Suckling,4173,715f,715,1445-1460
muslim,Sahih Muslim,17,The Book of Suckling,4174,715g,715,1445-1460
muslim,Sahih Muslim,17,The Book of Suckling,4175,715h,715,1445-1460
muslim,Sahih Muslim,17,The Book of Suckling,4176,715i,715,1445-1460
muslim,Sahih Muslim,17,The Book of Suckling,4177,715j,715,1445-1460
muslim,Sahih Muslim,17,The Book of Suckling,4179,715k,715,1445-1460
muslim,Sahih Muslim,17,The Book of Suckling,4181,715l,715,1445-1460
muslim,Sahih Muslim,18,The Book of Divorce,4284,938c,938,1471-1481
muslim,Sahih Muslim,18,The Book of Divorce,4285,938d,938,1471-1481
muslim,Sahih Muslim,18,The Book of Divorce,4286,938e,938,1471-1481
muslim,Sahih Muslim,20,The Book of Emancipating Slaves,4345,1370d,1370,1504-1508
muslim,Sahih Muslim,21,The Book of Transactions,4369,1412e,1412,1526-1542
muslim,Sahih Muslim,21,The Book of Transactions,4370,1412f,1412,1526-1542
muslim,Sahih Muslim,22,The Book of Musaqah,4627,1202b,1202,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4628,1202c,1202,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4694,715m,715,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4695,715n,715,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4696,715o,715,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4697,715p,715,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4698,715q,715,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4699,715r,715,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4700,715s,715,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4701,715t,715,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4702,715u,715,1560-1594
muslim,Sahih Muslim,22,The Book of Musaqah,4703,715v,715,1560-1594
muslim,Sahih Muslim,25,The Book of Wills,4841,1004c,1004,1627-1634
muslim,Sahih Muslim,25,The Book of Wills,4842,1004d,1004,1627-1634
muslim,Sahih Muslim,25,The Book of Wills,4843,1004e,1004,1627-1634
muslim,Sahih Muslim,27,The Book of Oaths,4967,1501c,1501,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4968,1501d,1501,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4969,1501e,1501,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4970,1501f,1501,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4971,1501g,1501,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4972,1501h,1501,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4973,1502b,1502,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4974,1503d,1503,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4975,1503e,1503,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4976,1503f,1503,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4981,997c,997,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4982,997d,997,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4983,997e,997,1648-1659
muslim,Sahih Muslim,27,The Book of Oaths,4984,997f,997,1648-1659
muslim,Sahih Muslim,30,The Book of Judicial Decisions,5156,593f,593,1713-1717
muslim,Sahih Muslim,30,The Book of Judicial Decisions,5157,593g,593,1713-1717
muslim,Sahih Muslim,30,The Book of Judicial Decisions,5158,593h,593,1713-1717
muslim,Sahih Muslim,30,The Book of Judicial Decisions,5159,593i,593,1713-1717
muslim,Sahih Muslim,31,The Book of Lost Property,5196,48b,48,1722-1726
muslim,Sahih Muslim,31,The Book of Lost Property,5197,48c,48,1722-1726
muslim,Sahih Muslim,31,The Book of Lost Property,5198,48d,48,1722-1726
muslim,Sahih Muslim,32,The Book of Jihad and Expeditions,5394,1365g,1365,1749-1794
muslim,Sahih Muslim,32,The Book of Jihad and Expeditions,5395,1365h,1365,1749-1794
muslim,Sahih Muslim,32,The Book of Jihad and Expeditions,5396,1365i,1365,1749-1794
muslim,Sahih Muslim,32,The Book of Jihad and Expeditions,5427,1254b,1254,1749-1794
muslim,Sahih Muslim,32,The Book of Jihad and Expeditions,5428,1254c,1254,1749-1794
muslim,Sahih Muslim,33,The Book on Government,5456,1652c,1652,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5457,1652d,1652,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5458,1733c,1733,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5459,1733d,1733,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5471,142e,142,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5472,142f,142,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5473,142g,142,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5474,142h,142,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5512,1709e,1709,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5513,1709f,1709,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5514,1709g,1709,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5515,1709h,1709,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5583,1353c,1353,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5584,1353d,1353,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5691,677k,677,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5741,1037c,1037,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5742,1037d,1037,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5753,715w,715,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5754,715x,715,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5755,715y,715,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5756,715z,715,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5757,715aa,715,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5758,715ab,715,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5759,715ac,715,1835-1890
muslim,Sahih Muslim,33,The Book on Government,5760,715ad,715,1835-1890
